amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
114-0158845-5743457	114-0158845-5743457	2018-07-06T04:04:50+00:00	2018-07-06T22:37:07+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Women Super Soft Lace Bra Top Seamless Bralette Cup Wireless Bra Pink S	NY-B15021-PI-S	B078NGPQK3	Shipped	1	USD	18.99								EUGENE	OR	97405-1208	US		false		
111-4336459-8612236	111-4336459-8612236	2018-07-06T03:25:57+00:00	2018-07-06T16:54:55+00:00	Cancelled	Amazon	Amazon.com			SecondDay	ZAIAI Women's Comfort Revolution Shaping Wire-Free Bra with Smart Sizes Purple Melange L	NY-XUHM331-B0-L	B07BKS4NK1	Cancelled	0										COLUMBUS	OH	43215-2271	US		false		
111-6697792-2122648	111-6697792-2122648	2018-07-06T03:08:52+00:00	2018-07-10T03:05:43+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Women's Comfort Revolution Shaping Wire-Free Bra with Smart Sizes Purple Melange L	NY-XUHM331-B0-L	B07BKS4NK1	Shipped	1	USD	9.99								MILTON	GA	30004-2821	US		false		
114-1102423-4569044	114-1102423-4569044	2018-07-06T03:05:20+00:00	2018-07-06T21:34:40+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Women Sexy Lace Dress G-string Lingerie Sheer Babydoll Sleepwear Nightdress Robe Black2	GJHNYK0	B074FQSTJL	Shipped	1	USD	15.99								SUNNYVALE	CA	94086-7242	US		false		
114-0441928-0014669	114-0441928-0014669	2018-07-05T18:07:18+00:00	2018-07-06T19:26:30+00:00	Shipped	Amazon	Amazon.com			SecondDay	MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants Red Medium	KTKXKR0	B071NP2X5N	Shipped	1	USD	22.9								Sherman Oaks	CA	91403	US		false		
113-8240579-9495430	113-8240579-9495430	2018-07-05T13:23:40+00:00	2018-07-09T22:12:54+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Women's Comfort Revolution Shaping Wire-Free Bra with Smart Sizes Purple Melange L	NY-XUHM331-B0-L	B07BKS4NK1	Shipped	1	USD	9.99								North Logan	UT	84341-2102	US		false		
113-7166921-0857019	113-7166921-0857019	2018-07-05T12:41:32+00:00	2018-07-06T01:34:46+00:00	Shipped	Amazon	Amazon.com			SecondDay	MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants Red Medium	KTKXKR0	B071NP2X5N	Shipped	1	USD	22.9		5.98						NEW YORK	NY	10002-6093	US		false		
113-5212341-8962603	113-5212341-8962603	2018-07-05T03:41:36+00:00	2018-07-06T04:30:33+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Qeauty Adhesive Bra,Push Up Drawstring Strapless Bra with Qualities for Sexy Backless Dress Apricot2 B Cup	XTHQXSB	B074NY9YM1	Shipped	1	USD	8.99								BABYLON	NY	11702-2017	US		false		
112-3622600-2956233	112-3622600-2956233	2018-07-04T21:28:27+00:00	2018-07-06T09:53:55+00:00	Pending	Amazon	Amazon.com			Standard	ZAIAI Women's Microfiber Longline Lace Bralette Black M	NY-XUHM002-K0-M	B07BKT1Y4D	Unshipped	1	USD	16.99								WESTMINSTER	CA	92683-2607	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false		
112-3622600-2956233	112-3622600-2956233	2018-07-04T21:28:27+00:00	2018-07-06T09:53:55+00:00	Pending	Amazon	Amazon.com			Standard	ZAIAI Women's Microfiber Longline Lace Bralette Pink M	NY-XUHM002-PI-M	B07BKSWCR3	Unshipped	1	USD	16.99								WESTMINSTER	CA	92683-2607	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false		
113-1416291-2020249	113-1416291-2020249	2018-07-04T18:24:34+00:00	2018-07-04T18:26:27+00:00	Cancelled	Amazon	Amazon.com			SecondDay	MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants Yellow Medium	KTKXKY0	B071HHSJ1R	Cancelled	0										New York	NY	10112	US		false		
113-6381664-6532259	113-6381664-6532259	2018-07-04T17:24:17+00:00	2018-07-06T07:31:26+00:00	Shipped	Amazon	Amazon.com			SecondDay	Womens Yoga Shefit Sports Bra Red 38	N2716YR038	B074QG3P8G	Shipped	1	USD	9.99								Vacaville	CA	95687-5828	US		false		
112-2609239-0543455	112-2609239-0543455	2018-07-04T14:23:35+00:00	2018-07-05T09:50:50+00:00	Shipped	Amazon	Amazon.com			SecondDay	MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants Red Medium	KTKXKR0	B071NP2X5N	Shipped	1	USD	22.9								Alexandria	Virginia	22307	US		false		
111-1736991-2820261	111-1736991-2820261	2018-07-04T08:18:37+00:00	2018-07-08T11:14:04+00:00	Cancelled	Amazon	Amazon.com			Standard	ZAIAI Women's Lace Kimono Robe Babydoll Lingerie Mesh Nightgown Black3	SPHNYK0	B074FP8V7K	Unshipped	1	USD	15.99								LODI	CA	95240-3918	US		false		
