"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B004X9BTFY","B004X9BTFY","Gratiae Organics Exfoliating Body Scrub, Passion Fruit and Lime, 425-Grams","33","1.95%","44","2.07%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07DPHB3FD","B0052K03KA","Premier Dead Sea Essential Face Cleanser for Men","6","0.35%","8","0.38%","50%","6","0","100.00%","0.00%","US$69.54","US$0.00","5","0"
"B00BD3OU72","B00BD3OU72","Premier Dead Sea Para-pharmaceutical Exfoliating Facial Gel, Brown, 4.3958-Fluid Ounce","14","0.83%","21","0.99%","100%","5","0","35.71%","0.00%","US$128.45","US$0.00","5","0"
"B00G71LV3Q","B00G71LV3Q","Premier By Dead Sea Premier Refining Facial Peeling Mask 2.04oz, 60ml","66","3.90%","97","4.56%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07DPGL987","B01G3AIYJO","Gratiae Organic Beauty By Nature Exfoliating Body Scrub, Apple/Green Tea and Ginger by Gratiae Organic Beauty By Nature","24","1.42%","29","1.36%","41%","1","0","4.17%","0.00%","US$15.99","US$0.00","1","0"
"B01JSONMH6","B01JSONMH6","Gratiae Organic Beauty Renewing Peeling Gel","35","2.07%","44","2.07%","61%","3","0","8.57%","0.00%","US$140.97","US$0.00","3","0"
"B0761NM3BZ","B0761MXCJB","ZAIAI Women's Quilted Puffer Jacket Coat with Faux Fur Trimmed Hood Navy S","9","0.53%","9","0.42%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761N286T","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Navy S","14","0.83%","15","0.71%","33%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761N3HJ3","Womens Hooded Warm Winter Faux Fur Lined Parkas Anoraks Long Coats Black XL","6","0.35%","6","0.28%","50%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761N46BN","ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Beige XL","13","0.77%","14","0.66%","86%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761NFQMT","ZAIAI Women's Anorak Parka Coat Silver Gray","12","0.71%","17","0.80%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761NFTQC","ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Beige M","4","0.24%","5","0.24%","60%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761NGWJD","ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Black L","5","0.30%","6","0.28%","67%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761NGYTK","Womens Hooded Warm Coats Parkas With Fax Fur Jackets Navy XXL","24","1.42%","27","1.27%","93%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761NHB1Y","ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Beige XS","9","0.53%","9","0.42%","33%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761NJH9L","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Navy L","5","0.30%","6","0.28%","50%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761NJPNM","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Beige M","21","1.24%","26","1.22%","38%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761NM1NH","ZAIAI Womens Wool Jacket Coat Outwear Parka Overcoat Beige M","9","0.53%","9","0.42%","89%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761NM3BZ","ZAIAI Women's Polar Freeze Short Down Jacket Warm Winter Coat","58","3.42%","74","3.48%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761NM3SZ","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Beige S","33","1.95%","41","1.93%","100%","1","0","3.03%","0.00%","US$42.49","US$0.00","1","0"
"B0761NM3BZ","B0761NMRB4","ZAIAI Women's Coat With Fur Hood With 90% Down Parka Puffer Jacket Black M","6","0.35%","7","0.33%","71%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761NNDWM","ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Black S","11","0.65%","13","0.61%","85%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761NNM84","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Beige XL","19","1.12%","19","0.89%","84%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761P4LK2","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Navy M","27","1.59%","34","1.60%","18%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761P4LKC","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Beige L","18","1.06%","19","0.89%","89%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761PBXCV","ZAIAI Women's Quilted Puffer Jacket Coat with Faux Fur Trimmed Hood Navy L","9","0.53%","12","0.56%","58%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761PDHV5","ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Black XS","4","0.24%","5","0.24%","80%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761PDMGN","ZAIAI Women's Parkas Anoraks Long Coats with Removable Faux Fur Trim Hood Black S","19","1.12%","23","1.08%","83%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761PL2N2","Womens Hooded Warm Coats Parkas With Fax Fur Jackets Navy S","11","0.65%","12","0.56%","83%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761PSPTJ","ZAIAI Women's Parkas Anoraks Long Coats with Removable Faux Fur Trim Hood Black L","7","0.41%","7","0.33%","57%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761PTZY2","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Beige XXL","16","0.94%","19","0.89%","42%","2","0","12.50%","0.00%","US$85.98","US$0.00","2","0"
"B0761NM3BZ","B0761PV952","ZAIAI Women's Coat With Fur Hood With 90% Down Parka Puffer Jacket Beige M","10","0.59%","12","0.56%","75%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761PVQYZ","ZAIAI Women's Parkas Anoraks Long Coats with Removable Faux Fur Trim Hood Black XL","9","0.53%","10","0.47%","90%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761PWB12","ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Beige L","6","0.35%","6","0.28%","50%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761PWSG1","ZAIAI Women's Parkas Anoraks Long Coats with Removable Faux Fur Trim Hood Black M","9","0.53%","10","0.47%","70%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761Q7KPX","ZAIAI Womens Wool Jacket Coat Outwear Parka Overcoat Beige XL","7","0.41%","7","0.33%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761Q9VPH","ZAIAI Womens Wool Jacket Coat Outwear Parka Overcoat Beige S","12","0.71%","15","0.71%","67%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761QBHM9","ZAIAI Womens Hooded Warm Winter Faux Fur Lined Parkas Anoraks Long Coats Black M","5","0.30%","5","0.24%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761QW2JK","ZAIAI Womens Wool Jacket Coat Outwear Parka Overcoat Beige XXL","11","0.65%","12","0.56%","75%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761R6ZG2","ZAIAI Women's Quilted Puffer Jacket Coat with Faux Fur Trimmed Hood Navy XS","11","0.65%","11","0.52%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761R93J2","ZAIAI Womens Hooded Warm Winter Faux Fur Lined Parkas Anoraks Long Coats Black XXL","11","0.65%","13","0.61%","85%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761RRL7M","ZAIAI Womens Hooded Warm Coats Parkas With Fax Fur Jackets Navy XL","13","0.77%","13","0.61%","85%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761S2M63","ZAIAI Women's Quilted Puffer Jacket Coat with Faux Fur Trimmed Hood Navy M","6","0.35%","7","0.33%","43%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761S59N6","ZAIAI Womens Wool Jacket Coat Outwear Parka Overcoat Beige L","6","0.35%","6","0.28%","67%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761S8TXR","ZAIAI Womens Hooded Warm Winter Faux Fur Lined Parkas Anoraks Long Coats Black S","5","0.30%","5","0.24%","60%","1","0","20.00%","0.00%","US$38.80","US$0.00","1","0"
"B0761NM3BZ","B0761SKR3P","ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Black XL","12","0.71%","17","0.80%","59%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761V7L2R","ZAIAI Womens Hooded Warm Winter Faux Fur Lined Parkas Anoraks Long Coats Black L","8","0.47%","8","0.38%","75%","1","0","12.50%","0.00%","US$34.39","US$0.00","1","0"
