Merchant SKU	Fulfillment Network SKU	ASIN	Title	Reserved Quantity	Reserved: Customer Order	Reserved: FC Transfer	Reserved: FC Processing
CS-LY171-ZL918-XL	X000PZ1DNB	B073PQCX9Z	100% Cotton Men's Solid Color Oxford Casual Shirt Long Sleeve Regular Fit	1	0	0	1
CS-LY170-PI908-S	X000PYEMJ9	B073PQMGW1	Mocotono Men's Solid Color Oxford Short Sleeve Button Down Casual Shirt Pink Small	1	0	0	1
CS-LY181-PI908-XXL	X000PYEMKN	B073PPPDK9	Summer Mae Men's Solid Color 100% Cotton Oxford Long Sleeve Button Down Casual Shirt	1	1	0	0
EUTK-J02H-GR-18/20	X000RCMWXH	B075TZRMB5	Teenking Boy's Fleece Outdoor Jacket 16-17 Years	1	0	0	1
EUTK-J02H-GR-14/16	X000RCK9R3	B075TX4639	Teenking Boy's Fleece Outdoor Jacket 14-15 Years	1	0	1	0
KZ-CSM073-FB-30	B0771D9MF3	B0771D9MF3	Mocotono Herren Corduroy Cotton Trousers Winter Warm Casual Stretch Pants Dark Blue 29	1	0	1	0
KZ-CSM073-G7-34	B07718HLQD	B07718HLQD	Mocotono Herren Corduroy Cotton Trousers Winter Warm Casual Stretch Pants Army Green 33	2	0	0	2
KZ-CSM073-FB-32	B07716RGJR	B07716RGJR	Mocotono Herren Corduroy Cotton Trousers Winter Warm Casual Stretch Pants Dark Blue 31	1	0	0	1
KZ-CSM073-FB-31	B0771D5SFZ	B0771D5SFZ	Mocotono Herren Corduroy Cotton Trousers Winter Warm Casual Stretch Pants Dark Blue 30	3	0	0	3
KZ-CSM073-G7-31	B0771B3TJ3	B0771B3TJ3	Mocotono Herren Corduroy Cotton Trousers Winter Warm Casual Stretch Pants Army Green 30	1	0	0	1
KZ-CSM073-K0-30	B07717HGJ2	B07717HGJ2	Mocotono Herren Corduroy Cotton Trousers Winter Warm Casual Stretch Pants Black 29	3	0	0	3
KZ-CSM073-KQ-42	B0771B3THS	B0771B3THS	Mocotono Herren Corduroy Cotton Trousers Winter Warm Casual Stretch Pants Khaki 40	1	0	0	1
KZ-CSM073-N5-35	B0771QRD74	B0771QRD74	Mocotono Herren Corduroy Cotton Trousers Winter Warm Casual Stretch Pants Coffee 34	2	0	0	2
KZ-CSM073-G7-30	B0771CQ6J5	B0771CQ6J5	Mocotono Herren Corduroy Cotton Trousers Winter Warm Casual Stretch Pants Army Green 29	2	0	0	2
KZ-CSM073-BE-31	B077198ZKV	B077198ZKV	Mocotono Herren Corduroy Cotton Trousers Winter Warm Casual Stretch Pants Beige 30	1	0	0	1
KZ-CSM073-N5-32	B07718J21H	B07718J21H	Mocotono Herren Corduroy Cotton Trousers Winter Warm Casual Stretch Pants Coffee 31	2	0	0	2
LYQ-BS-1010-P0-XL	X000NI8NPB	B01BCZBKJ6	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	32	0	0	32
LYQ-BS-1010-P0-L	X000NICQPT	B017X47WOW	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	39	0	0	39
LYQ-BS-K1010-G7-XS	X000NJYUV1	B01MS11C7L	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	15	0	0	15
LYQ-BS-CS04-G0-S	X000R87C1N	B0761RR9KT	Summer Mae Women Long Sleeve Pockets Casual Swing T-Shirt Dresses UK 8 Army Green	1	0	0	1
LYQ-BS-K1010-B0-XS	X000NIDB8Z	B01M7XMBP9	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	15	0	0	15
LYQ-BS-K1010-N0-S	X000NICQQN	B01M59530X	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	19	0	0	19
LYQ-BS-HM1205-BR-M	X000NM1S45	B01N0H284O	Summer Mae Women's Lace Up Front V Neck Long Sleeve Knit Sweater Dress Top	2	0	0	2
LYQ-BS-K1010-K0-S	X000NG4573	B01KO0SAIE	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	1	0	0	1
LYQ-BS-CS04-G0-2XL	X000R87C1X	B0761SXVQM	Summer Mae Women Long Sleeve Pockets Casual Swing T-Shirt Dresses UK 16 Army Green	1	0	0	1
LYQ-BS-K1010-P0-XS	X000NI8NKV	B017X47TA4	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	21	0	0	21
LYQ-BS-K1010-N0-M	X000NI8JKZ	B01M22DT7M	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	14	0	0	14
LYQ-BS-K1010-N0-XL	X000NI96E3	B01M7NHI4J	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	10	0	0	10
LYQ-BS-K1010-K0-2X	X000NI8NOH	B01LAURHU4	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	2	0	0	2
LYQ-BS-K1010-P0-M	X000NIARM3	B017X47VLQ	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	21	0	0	21
LYQ-BS-K1010-N0-XS	X000NI3ETV	B01M22DUD3	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	5	0	0	5
LYQ-BS-K1010-N0-2X	X000NI3ETL	B01M6UNN0N	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	2	0	0	2
LYQ-BS-HM1205-W0-S	X000NL6PKD	B01N0H26RV	Summer Mae Women's Lace Up Front V Neck Long Sleeve Knit Sweater Dress Top	1	0	0	1
LYQ-BS-HM1205-BR-S	X000NPJHN1	B01MRNMWMM	Summer Mae Women's Lace Up Front V Neck Long Sleeve Knit Sweater Dress Top	2	0	0	2
LYQ-BS-K1010-B0-2X	X000NG1TX1	B01M2CJRHO	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	8	0	0	8
LYQ-BS-K1010-N0-L	X000NG1TWR	B01M59507R	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	10	0	0	10
LYQ-BS-K1010-G7-2X	X000NJP7TZ	B01MS11ABV	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	5	0	0	5
LYQ-BS-K1010-G0-XS	X000NIARMX	B01MQPQALH	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	13	0	0	13
LYQ-BS-K1010-G0-XL	X000NI8TLJ	B01N1LZPE7	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	23	0	0	23
LYQ-BS-K1010-K0-L	X000NIARN7	B01KO0SCAA	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	3	0	0	3
LYQ-BS-K1010-P0-S	X000NI8TL9	B017X47UK8	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	12	0	0	12
LYQ-BS-K1010-B0-S	X000NIARMD	B01M5JCF70	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	1	1	0	0
LYQ-BS-K1010-G7-M	X000NI8NPL	B01MS11D3B	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	1	0	0	1
LYQ-BS-K1010-G0-S	X000NI96ED	B06XZ3WZ4S	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	2	0	0	2
LYQ-BS-K1010-G0-M	X000NI8TNR	B01MQPQHB5	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	12	0	0	12
LYQ-BS-K1010-P0-2X	X000NI8TNH	B01LAURFZ6	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	12	0	0	12
LYQ-BS-K1010-K0-XL	X000NIBCWH	B01KO0SDBI	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	2	1	0	1
LYQ-BS-K1010-KQ-S	X000NLAB1R	B06XZ2GBMX	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	1	0	0	1
LYQ-BS-K1010-KQ-2X	X000NIV3SP	B01N1X1M4J	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	1	0	0	1
LYQ-BS-MX02-R0-XL	X000R876HN	B0761R5WJ7	Summer Mae Women Casual Tunic Dress Long Sleeve Bell-Sleeve Flare Dress Red XL	1	0	0	1
LYQ-BS-K1010-W0-S	X000NICQQX	B01KO0SAKM	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	1	1	0	0
LYQ-BS-LB01-K0-L	X000R871H3	B0761RR9NT	Summer Mae Women Polo Neck Casual Bell Sleeve Swing Smock Dress Long Sleeve Trumpet Sleeves Black L	2	0	0	2
LYQ-BS-LB01-Wi-XL	X000R8HSOT	B0761TDM34	Summer Mae Women Polo Neck Casual Bell Sleeve Swing Smock Dress Long Sleeve Trumpet Sleeves Dark Red XL	1	0	0	1
LYQ-BS-K1010-Z0-2X	X000NICQQD	B06XYRGGZJ	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	2	0	0	2
LYQ-BS-K1010-Z0-M	X000NJ6UUZ	B01MZYYG9U	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	1	0	0	1
LYQ-BS-MX02-P0-L	X000R8BCEL	B0761RC5D7	Summer Mae Women Casual Tunic Dress Long Sleeve Bell-Sleeve Flare Dress Purple L	2	0	0	2
LYQ-BS-MX02-K0-L	X000R86ZVB	B0761S22ZS	Summer Mae Women Casual Tunic Dress Long Sleeve Bell-Sleeve Flare Dress Black L	1	0	0	1
LYQ-BS-K1010-R0-L	X000O7DATP	B06XYQKYNP	Summer Mae Women's Long Sleeve A-line Lace Stitching Trim Casual Dress	4	0	0	4
