sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
BS-BN-1503-BO-S	X000PN3O6R	B0727P44M2		Unknown					0	0	0	0	0		0	0	0
BS-BN-1503-GR-3XL	X000PNK1EF	B0718WVYJV		Unknown					0	0	0	0	0		0	0	0
BS-BN-1503-GR-M	X000PNK1Q3	B07114WY73		Unknown					0	0	0	0	0		0	0	0
BS-BN-1503-GR-S	X000PNK1LX	B07253D4WR		Unknown					0	0	0	0	0		0	0	0
BS-BN-1503-KO-2XL	X000PN3O2V	B0713QKFKC		Unknown					0	0	0	0	0		0	0	0
BS-BN-1503-KO-L	X000POR8SB	B0716BBDVV	Summer Mae Camiseta Mangas Largas Algodón Deporte Oficina Botón Cuello V Pico para Hombre	New	30.00	No		Yes	0	0	0	0	0	972.08	0	0	0
BS-BN-1503-WO-L	X000PNKRUD	B071DN4Q1M		Unknown					0	0	0	0	0		0	0	0
BS-BN-1503-WO-M	X000PNK1P9	B07253CYT2		Unknown					0	0	0	0	0		0	0	0
BS-BN1001-BO-M	X000PPHAGF	B06ZZ31SK3		Unknown					1	1	0	0	1		0	0	0
BS-BN1001-GR-M	X000PPHAOR	B071CL2X4W		Unknown					1	1	0	0	1		0	0	0
BS-HB2112-WO-L	X000OLWH6N	B06XTLNTQT	Summer Mae Vestido Blanco Acampanada de Verano Fuera del Hombro para Mujer	New	29.99	No		Yes	0	0	0	0	0	2869.05	0	0	0
BS-HB2112-WO-S	X000OJ2BL1	B06XTLT78D	Summer Mae Vestido Blanco Acampanada de Verano Fuera del Hombro para Mujer	New	29.99	No		Yes	0	0	0	0	0	2860.03	0	0	0
BS-HB2112-WO-XL	X000OLWHQ3	B06XTP8MFD	Summer Mae Vestido Blanco Acampanada de Verano Fuera del Hombro para Mujer	New	29.99	No		Yes	0	0	0	0	0	2860.03	0	0	0
BS-HB3300-KO-S	X000PR38A5	B06XPR3QLF	Summer Mae Bikini Set Traje de baño con Ganchillo de Cuello V para Mujer	New	30.00	No		Yes	0	0	0	0	0	1774.06	0	0	0
BS-HB3300-PI-S	X000PR2S1P	B06XPJ6RHV	Summer Mae Bikini Set Traje de baño con Ganchillo de Cuello V para Mujer	New	30.00	No		Yes	1	0	1	0	1	1774.06	0	0	0
BS-HB3300-WO-S	X000PQRU73	B06XPY2TP3	Summer Mae Bikini Set Traje de baño con Ganchillo de Cuello V para Mujer	New	30.00	No		Yes	0	0	0	0	0	1774.06	0	0	0
BS-HB3555-KO-L	X000PPXJP1	B06XH5FTSX	Summer Mae Trajes de Baño Triangular Push-up con Dibujo de Concha Bikini para Mujer	New	30.00	No		Yes	1	0	0	1	1	991.42	0	0	0
BS-HB3555-KO-M	X000PPPFZD	B06XH95L7W	Summer Mae Trajes de Baño Triangular Push-up con Dibujo de Concha Bikini para Mujer	New	30.00	No		Yes	0	0	0	0	0	991.42	0	0	0
BS-HB3555-PI-L	X000OJEZ6F	B06XH78YXT	Summer Mae Trajes de Baño Triangular Push-up con Dibujo de Concha Bikini para Mujer	New	30.00	No		Yes	1	0	0	1	1	697.76	0	0	0
BS-HB3555-PI-M	X000OKCAUR	B06XH7KN3V	Summer Mae Trajes de Baño Triangular Push-up con Dibujo de Concha Bikini para Mujer	New	30.00	Yes	0	No	0	0	0	0	0	991.42	0	0	0
BS-HB3555-PI-S	X000OHISX3	B06XH65K15	Summer Mae Trajes de Baño Triangular Push-up con Dibujo de Concha Bikini para Mujer	New	30.00	No		Yes	2	0	0	2	2	771.18	0	0	0
BS-HB4032-BO-L	X000P1IES7	B06XS9L3CM	Summer Mae Vestido Estampado de Manga Corta Fuera del Hombro - Mujer	New	30.00	No		Yes	0	0	0	0	0	720.05	0	0	0
BS-HB4032-BO-XL	X000P1DHH5	B06XS8WNL5	Summer Mae Vestido Estampado de Manga Corta Fuera del Hombro - Mujer	New	30.00	No		Yes	0	0	0	0	0	720.05	0	0	0
BS-HB4032-BO-XXL	X000P1KSQN	B06XS19NQT	Summer Mae Vestido Estampado de Manga Corta Fuera del Hombro - Mujer	New	30.00	No		Yes	0	0	0	0	0	720.05	0	0	0
BS-HB4032-R1-L	X000P1BFDD	B06XSCQC98	Summer Mae Vestido Estampado de Manga Corta Fuera del Hombro - Mujer	New	30.00	No		Yes	0	0	0	0	0	720.05	0	0	0
BS-HB4032-R1-M	X000P1TH7T	B06XS9ZYJV	Summer Mae Vestido Estampado de Manga Corta Fuera del Hombro - Mujer	New	30.00	No		Yes	0	0	0	0	0	720.05	0	0	0
BS-HB4032-R1-S	X000P1BFD3	B06XS7W8MN	Summer Mae Vestido Estampado de Manga Corta Fuera del Hombro - Mujer	New	30.00	No		Yes	0	0	0	0	0	720.05	0	0	0
BS-HB4032-R1-XL	X000P1IEWD	B06XSB57JL	Summer Mae Vestido Estampado de Manga Corta Fuera del Hombro - Mujer	New	30.00	No		Yes	0	0	0	0	0	720.05	0	0	0
BS-HB4032-R1-XXL	X000P1RFOB	B06XRSJ6ZH	Summer Mae Vestido Estampado de Manga Corta Fuera del Hombro - Mujer	New	30.00	No		Yes	1	1	0	0	1	720.05	0	0	0
BS-HB4032-RO-L	X000P1KSQX	B06XS7WBRS	Summer Mae Vestido Estampado de Manga Corta Fuera del Hombro - Mujer	New	30.00	No		Yes	0	0	0	0	0	720.05	0	0	0
BS-HB4032-RO-M	X000P1BFDX	B06XS17BX4	Summer Mae Vestido Estampado de Manga Corta Fuera del Hombro - Mujer	New	30.00	No		Yes	0	0	0	0	0	720.05	0	0	0
BS-HB4032-RO-S	X000P1IERX	B06XS9P5PY	Summer Mae Vestido Estampado de Manga Corta Fuera del Hombro - Mujer	New	30.00	No		Yes	0	0	0	0	0	720.05	0	0	0
BS-HB4032-RO-XL	X000P1DHGV	B06XRRM4F8	Summer Mae Vestido Estampado de Manga Corta Fuera del Hombro - Mujer	New	30.00	No		Yes	0	0	0	0	0	720.05	0	0	0
