"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B06WD25VDK","B017X47WOW","Summer Mae Femme A-ligne Robe Unie Décontractée En Manches Longues De Dentelles L Pourpre","2","0.02%","2","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06VTF2QKS","B0196ETN8U","Summer Mae Femme Maillot De Bain Amincissant - Maillot Une Pièce Rayé Bleu","6","0.07%","6","0.05%","83%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06VTF2QKS","B01A6BXQDK","Summer Mae Femme Maillot De Bain Amincissant - Maillot Une Pièce Rayé Bleu","2","0.02%","3","0.03%","67%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD21CFF","B01AXSD3V6","Maillot 1 Pièce Push Up Rembourré Tankini Motif Floral pour Femme","34","0.39%","49","0.44%","100%","1","0","2.94%","0.00%","€5.30","€0.00","1","0"
"B06WD21CFF","B01AXSD83E","Maillot 1 Pièce Push Up Rembourré Tankini Motif Floral pour Femme","17","0.20%","32","0.29%","81%","1","0","5.88%","0.00%","€5.30","€0.00","1","0"
"B06VTF2QKS","B01B184VYA","Summer Mae Femme Maillot De Bain Amincissant - Maillot Une Pièce Rayé Bleu","9","0.10%","12","0.11%","100%","2","0","22.22%","0.00%","€39.98","€0.00","2","0"
"B06WD25VDK","B01BCZBKJ6","Summer Mae Femme A-ligne Robe Unie Décontractée En Manches Longues De Dentelles XL Pourpre","1","0.01%","1","0.01%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD218DW","B01C9TE2BW","Summer Mae Tankinis Rayé Classique - Maillot de Bain Mignon Deux Pièces avec Jupette pour Femme Rose XXL","6","0.07%","7","0.06%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WV8SYYX","B01DLSN9BY","Summer Mae Femme Maillot Duex Pièces Amincissant Tankini Uni","3","0.03%","5","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WV8SYYX","B01DLSNA3Q","Summer Mae Femme Maillot Duex Pièces Amincissant Tankini Uni","3","0.03%","3","0.03%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WV8SYYX","B01DLSNB76","Summer Mae Femme Maillot Duex Pièces Amincissant Tankini Uni","1","0.01%","1","0.01%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WV8SYYX","B01DLSNCJI","Summer Mae Femme Maillot Duex Pièces Diamant Amincissant Tankini Uni","2","0.02%","2","0.02%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WV8SYYX","B01DLSNDLU","Summer Mae Femme Maillot Duex Pièces Amincissant Tankini Uni","3","0.03%","3","0.03%","67%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WV8SYYX","B01DLSNDZG","Summer Mae Femme Maillot Duex Pièces Diamant Amincissant Tankini Uni","1","0.01%","1","0.01%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XC6LPJZ","B01EJ5VO38","Summer Mae Femme Maillot De Bain Une Pièce Moulant, Elegant et Sexy Grande Taille Noir 3XL","15","0.17%","18","0.16%","33%","2","0","13.33%","0.00%","€49.98","€0.00","2","0"
"B06XC6LPJZ","B01EJ5VPSW","Summer Mae Femme Maillot De Bain Une Pièce Moulant, Elegant et Sexy Grande Taille Noir 2XL","21","0.24%","33","0.30%","100%","1","0","4.76%","0.00%","€24.99","€0.00","1","0"
"B06XC6LPJZ","B01EJ5VRJE","Summer Mae Femme Maillot De Bain Une Pièce Moulant, Elegant et Sexy Grande Taille Noir M","9","0.10%","11","0.10%","91%","3","0","33.33%","0.00%","€74.97","€0.00","3","0"
"B06XC6LPJZ","B01EJ5VT60","Summer Mae Femme Maillot De Bain Une Pièce Moulant, Elegant et Sexy Grande Taille Noir L","31","0.36%","41","0.37%","100%","1","0","3.23%","0.00%","€24.99","€0.00","1","0"
"B06XC6LPJZ","B01EJ5VUNW","Summer Mae Femme Maillot De Bain Une Pièce Moulant, Elegant et Sexy Grande Taille Noir XL","11","0.13%","15","0.13%","93%","2","0","18.18%","0.00%","€49.98","€0.00","2","0"
"B06XCDVXR3","B01F3E3964","Maillot de Bain 1 Pièce Amincissant Super Sexy Push Up Rembourré, Robe de Bain Grande Taille pour Femme Bleu avec Rayure Rouge 40 (XL)","10","0.12%","10","0.09%","50%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XCDVXR3","B01F3E3AUY","Maillot de Bain 1 Pièce Amincissant Super Sexy Push Up Rembourré, Robe de Bain Grande Taille pour Femme Bleu avec Rayure Rouge 42 (XXL)","19","0.22%","23","0.21%","61%","1","0","5.26%","0.00%","€18.99","€0.00","1","0"
