amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
114-8122080-6985836	114-8122080-6985836	2018-06-17T16:42:57+00:00	2018-06-18T22:05:16+00:00	Shipped	Amazon	Amazon.com			SecondDay	Womens Hooded Warm Coats Parkas With Fax Fur Jackets Navy M	MY16055ZQM	B0761Q4YF6	Shipped	1	USD	34.39								doral	fl	33166	US		false		
114-8122080-6985836	114-8122080-6985836	2018-06-17T16:42:57+00:00	2018-06-18T22:05:16+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Black S	MY71115K0M	B0761NNDWM	Shipped	1	USD	34.39								doral	fl	33166	US		false		
114-6138155-9953863	114-6138155-9953863	2018-06-17T12:06:05+00:00	2018-06-17T21:49:36+00:00	Shipped	Amazon	Amazon.com			SecondDay	Premier Dead Sea Body Butter Passion Fruit Scent	KP-1178-XPKV	B00158196K	Shipped	1	USD	20.99								COLORADO SPRINGS	CO	80919-5001	US		false		
114-3088078-6586651	114-3088078-6586651	2018-06-17T06:40:03+00:00	2018-06-19T00:59:43+00:00	Shipped	Amazon	Amazon.com			SecondDay	Premier Dead Sea Body Butter Passion Fruit Scent	KP-1178-XPKV	B00158196K	Shipped	1	USD	20.99								San Pedro	California	90731	US		false		
114-0658939-2381804	114-0658939-2381804	2018-06-17T04:04:02+00:00	2018-06-17T16:34:50+00:00	Shipped	Amazon	Amazon.com			SecondDay	Premier Dead Sea Vitamin Concentrated Facial Serum, Vitamin E and C, 1.7-Fluid Ounce	HF-g104e-PCFS	B00117F5PG	Shipped	1	USD	64.59								NEW YORK	NY	10282-1226	US		false		
111-8677836-3733001	111-8677836-3733001	2018-06-17T03:06:35+00:00	2018-06-17T21:06:05+00:00	Shipped	Amazon	Amazon.com			SecondDay	Premier Dead Sea Miracle Noir Mask, 2.04 Fluid Ounce	HF-a10e-MINM	B0010BBCFK	Shipped	1	USD	42.48								PORTER RANCH	CALIFORNIA	91326-3601	US		true		
114-7921246-6310610	114-7921246-6310610	2018-06-17T02:44:46+00:00	2018-06-17T22:28:42+00:00	Shipped	Amazon	Amazon.com			SecondDay	Dead Sea Premier Beautifying Nail Kit Milk and Honey - Body Lotion,Cuticle Oil,Nail File,Buffing Block	HF-n2ae-NBNK	B004H02GDI	Shipped	1	USD	15.99								BAYSIDE	NY	11360	US		false		
112-6937959-6846649	112-6937959-6846649	2018-06-17T01:39:44+00:00	2018-06-17T09:54:05+00:00	Shipped	Amazon	Amazon.com			SecondDay	Gratiae AHA Cleansing and Peeling Foam	KN-QWP1-D5XB	B004OF9EPO	Shipped	1	USD	23.5								MIAMI	FLORIDA	33126-4847	US		false		
113-1839572-5445018	113-1839572-5445018	2018-06-16T22:09:21+00:00	2018-06-17T20:56:06+00:00	Shipped	Amazon	Amazon.com			SecondDay	Premier Usa Dead Sea shaving Cream for Men All Skin	IM-YEIX-VVX8	B0016VW618	Shipped	1	USD	14.49								MIAMI BEACH	FL	33139-0820	US		false		
113-0975850-7253041	113-0975850-7253041	2018-06-16T20:29:23+00:00	2018-06-18T07:45:21+00:00	Shipped	Amazon	Amazon.com			SecondDay	Premier Dead Sea Body Butter Herbal Scent	0Z-KJNM-D56T	B00157ZFC0	Shipped	1	USD	19.99								HARLINGEN	TEXAS	78552-4967	US		false		
