(父） ASIN,（子）ASIN,商品名称,买家访问次数,买家访问次数百分比,页面浏览次数,页面浏览次数百分比,购买按钮赢得率,已订购商品数量,订购数量 – B2B,订单商品数量转化率,商品转化率 – B2B,已订购商品销售额,已订购商品的销售额 – B2B,订单商品种类数,订单商品总数 – B2B
B07DG2NGBY,B071HHSJ1R,MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants Yellow Medium,69,4.91%,92,5.85%,95%,1,0,1.45%,0.00%,US$22.99 ,US$0.00 ,1,0
B071JYNS5V,B071JYNS5V,"HuXang Cloth New Women Wide Leg High Waist Casual Crop Pants Striped Loose Trousers Bandage(White,L)",6,0.43%,7,0.45%,57%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B07DC3CQDX,B071K8MVBL,HuXang Cloth Womens Elastic Waist Cotton Linen Loose Casual Wide Leg Palazzo Pants Blue,1,0.07%,1,0.06%,0%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B07DG2NGBY,B071NP2X5N,MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants Red Medium,106,7.54%,133,8.46%,99%,8,0,7.55%,0.00%,US$183.20 ,US$0.00 ,8,0
B071RNC571,B071RNC571,HuXang Cloth Shirt Ladies Winosaur Funny Wine Lover Shirt,1,0.07%,1,0.06%,0%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B071RNC571,B071YQ9S6C,"HuXang Cloth Shirt Ladies Winosaur Funny Wine Lover Shirt (White,L)",3,0.21%,3,0.19%,67%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B07DC3CQDX,B0721PYJL2,HuXang Cloth Women's Damask Palazzo Floral Print Pants Apricot,2,0.14%,2,0.13%,0%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B071RNC571,B0722LHQ3T,"HuXang Cloth Shirt Ladies Winosaur Funny Wine Lover Shirt (White,XL)",3,0.21%,3,0.19%,33%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B07DC3CQDX,B072KH5Y75,HuXang Cloth Womens Elastic Waist Cotton Linen Loose Casual Wide Leg Palazzo Pants Black,1,0.07%,1,0.06%,0%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B07DC3CQDX,B072N2WZ5J,HuXang Cloth Womens Elastic Waist Cotton Linen Loose Casual Wide Leg Palazzo Pants White,1,0.07%,1,0.06%,0%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
