Merchant SKU	Fulfillment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
BD-PUHM101-B0-L	X001STM6EV	B077P3W5CY	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	20.99	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM101-B0-M	X001STMA65	B077PGPW9C	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	20.99	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM101-B0-S	X001SU8A31	B077P4NDQF	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	20.99	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM101-B0-XL	X001SU74LZ	B077PGPQKQ	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	20.99	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM101-G0-L	X001SU7MNF	B077PBYWZS	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	20.99	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM101-G0-M	X001STM6GJ	B077PC5BGR	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	20.99	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM101-G0-S	X001SU8AB3	B077P4BJ4R	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	20.99	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM101-G0-XL	X001SU8GYJ	B077PGDGHH	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	20.99	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM101-K0-L	X001SU8GZ3	B077PGJY38	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	20.99	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM101-K0-M	X001SU6MVD	B077P832FW	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	20.99	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM101-K0-S	X001STM6CX	B07846LZTV	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	20.99	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM101-K0-XL	X001STMA47	B077P4DY6N	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	20.99	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM101-R0-L	X001SU4LRF	B077P98RR5	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	20.99	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM101-R0-M	X001STMA33	B077PBWY75	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	20.99	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM101-R0-S	X001SU4NFP	B077PC5F9V	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	20.99	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM101-R0-XL	X001SU8A9P	B07844VFWQ	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	20.99	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM201-B0-L	X001UTBHRL	B07G842QN1	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	10.00	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM201-B0-M	X001UTDYVX	B07G88D94R	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	10.00	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM201-B0-S	X001UT92MX	B07G87YQRD	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	10.00	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM201-B0-XL	X001UTBHQR	B07G8CSMPR	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	10.00	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM201-G0-L	X001UTDYTF	B07G82SHTJ	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	10.00	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM201-G0-M	X001UTDCEH	B07G8BZMCG	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	10.00	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM201-G0-S	X001UT92QT	B07G86KD95	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	10.00	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM201-G0-XL	X001UTBHS5	B07G87S5PJ	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	10.00	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM201-K0-L	X001UTED4P	B07G85ZBV7	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	10.00	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM201-K0-M	X001UTDG7P	B07G8BCJ9V	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	10.00	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM201-K0-S	X001UTDI6T	B07G87M8VK	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	10.00	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM201-K0-XL	X001USXICJ	B07G88YHSW	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	10.00	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM201-R0-L	X001UTDCX3	B07G86R9SY	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	10.00	No		Yes	0	0	0	0	0	0	0	0	0
BD-PUHM201-R0-M	X001UT936N	B07G87WF37	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	New	10.00	No		Yes	0	0	0	0	0	0	0	0	0
