Merchant SKU	Fulfillment Network SKU	ASIN	Title	Reserved Quantity	Reserved - Customer Order	Reserved - FC Transfer	Reserved - FC Processing
GW-IUHM-PAW-OR-S	X001U3BISZ	B07FMJ852H	luciphia Rectangle Pet Dog Sofa Bed - Comfortable Two-Sided Cushion, Paw and Bone Patterned Linen Fabric Cover, Square Bed for Dog and Cat, Water-Resistant Bottom PAW-Orange,S(23.6x17.7In)	14	0	14	0
GW-IUHM-PAW-GN-XL	X001U4L5IR	B07FMBSW8Q	luciphia Rectangle Pet Dog Sofa Bed - Comfortable Two-Sided Cushion, Paw and Bone Patterned Linen Fabric Cover, Square Bed for Dog and Cat, Water-Resistant Bottom PAW-Green,XL(35.4x29.5In)	6	0	6	0
GW-IUHM-PAW-CF-XL	X001U4EY35	B07FM5R5JH	luciphia Rectangle Pet Dog Sofa Bed - Comfortable Two-Sided Cushion, Paw and Bone Patterned Linen Fabric Cover, Square Bed for Dog and Cat, Water-Resistant Bottom PAW-Coffee,XL(35.4x29.5In)	17	0	17	0
GW-IUHM-BONE-LB-L	X001U4EY3F	B07FM6LVGV	luciphia Textiles Reversible Rectangle Pet Bed with Dog Paw and Bone Printing Bone-Sky Blue,L(31.4x25.5In)	2	0	2	0
GW-IUHM-BONE-CF-XL	X001U4EY3P	B07FMM4Q16	luciphia Textiles Reversible Rectangle Pet Bed with Dog Paw and Bone Printing Bone-Coffee,XL(35.4x29.5In)	12	0	12	0
GW-IUHM-PAW-LB-S	X001U3BFRJ	B07FM1B31D	luciphia Rectangle Pet Dog Sofa Bed - Comfortable Two-Sided Cushion, Paw and Bone Patterned Linen Fabric Cover, Square Bed for Dog and Cat, Water-Resistant Bottom PAW-Sky Blue,S(23.6x17.7In)	17	0	17	0
GW-IUHM-BONE-PK-M	X001U3ZRBT	B07FM6X9XD	luciphia Textiles Reversible Rectangle Pet Bed with Dog Paw and Bone Printing Bone-Pink,M(27.5x21.6In)	4	0	4	0
MMDC-IUHM100-BL	X001U3BFNN	B07FM7ZQJJ	luciphia Cat Hammock Bed Comfortable Hanging Pet for Cats/Dogs/Rabbits/Small Animals Blue 21.6x16.9In	11	0	10	1
MJ-IUYL230-PK-L	X001OVSWZP	B079GQ7X19	luciphia Ultra Absorbent Microfiber Drying Pet Towel for Dogs Cats Pink 31 x 13 inch	10	0	10	0
MJ-IUYL230-CF-L	X001OX068T	B079GTFGYN	luciphia Ultra Absorbent Microfiber Drying Pet Towel for Dogs Cats Coffee 31 x 13 inch	15	0	15	0
MJ-IUYL230-BL-L	X001OWXULF	B079GNVPFC	luciphia Ultra Absorbent Microfiber Drying Pet Towel for Dogs Cats Blue 31 x 13 inch	10	0	10	0
MMDC-IUHM100-PK	X001U4L5J1	B07FMJW6W8	luciphia Cat Hammock Bed Comfortable Hanging Pet for Cats/Dogs/Rabbits/Small Animals Pink 21.6x16.9In	10	0	10	0
MMDC-IUHM100-BK	X001U3ZR3H	B07FMJ852L	luciphia Cat Hammock Bed Comfortable Hanging Pet for Cats/Dogs/Rabbits/Small Animals Black 21.6x16.9In	11	0	10	1
SCF-B01-018	B075XC664H	B075XC664H	Women's Large Print Floral Chiffon Scarf Poncho Shawl	1	0	0	1
SCF-B01-013	B075XCS3QN	B075XCS3QN	Women's Large Print Floral Chiffon Scarf Poncho Shawl	1	0	0	1
SCF-B01-017	B075XJLDVB	B075XJLDVB	Women's Large Print Floral Chiffon Scarf Poncho Shawl	1	0	0	1
SCF-B01-001	B075XDV8DB	B075XDV8DB	Women's Large Print Floral Chiffon Scarf Poncho Shawl	1	0	0	1
SCF-B01-011	B075XDTMSM	B075XDTMSM	Women's Large Print Floral Chiffon Scarf Poncho Shawl	2	1	1	0
SCF-B01-003	B075XHVZNY	B075XHVZNY	Women's Large Print Floral Chiffon Scarf Poncho Shawl	1	0	0	1
SCF-B01-002	B075XFH141	B075XFH141	Women's Large Print Floral Chiffon Scarf Poncho Shawl	1	0	0	1
SCF-B01-015	B075XF6KDQ	B075XF6KDQ	Women's Large Print Floral Chiffon Scarf Poncho Shawl	1	0	0	1
SCF-C01-009	B075WT1YRZ	B075WT1YRZ	Women's Large Print Silk Scarf Floral Square Pashmina Shawl	1	1	0	0
SCF-C01-010	B075WT9XBG	B075WT9XBG	Women's Large Print Silk Scarf Floral Square Pashmina Shawl	1	0	0	1
ST-K559-KQ-44	B073QH2KWY	B073QH2KWY	Mens Twill Cargo Shorts Slim Fit Short Pants Khaki 2 Tag 44/US 42	1	0	0	1
ST173-PK-XXL	B074SVP22M	B074SVP22M	MOCOTONO Men's Short Sleeve Formal Dress Shirts Pink XX-Large	1	1	0	0
TZ-IUYL240-CHRISMAS-L	X001U8YW3X	B07FPF48R8	luciphia 1 Pack 3 Blankets Super Soft Fluffy Premium Fleece Pet Blanket Flannel Throw for Dog Puppy Cat Christmas Large	11	0	10	1
TZ-IUYL240-CHRISMAS-M	X001U8DAOP	B07FPDR28G	luciphia 1 Pack 3 Blankets Super Soft Fluffy Premium Fleece Pet Blanket Flannel Throw for Dog Puppy Cat Christmas Medium	10	0	10	0
TZ-IUYL240-BEAR-S	X001SNGXAF	B07DF6DDNM	luciphia 1 Pack 3 Blankets Super Soft Fluffy Premium Fleece Pet Blanket Flannel Throw for Dog Puppy Cat Bear Small	16	5	9	2
TZ-IUYL240-BEAR-M	X001SNZ531	B07DFC3CFS	luciphia 1 Pack 3 Blankets Super Soft Fluffy Premium Fleece Pet Blanket Flannel Throw for Dog Puppy Cat Bear Medium	2	1	0	1
TZ-IUYL240-RABBIT-S	X001SNYGA9	B07DFCKR8T	luciphia 1 Pack 3 Blankets Super Soft Fluffy Premium Fleece Pet Blanket Flannel Throw for Dog Puppy Rabbit Small	7	1	5	1
TZ-IUYL240-LOVE-S	X001SVZZGP	B07DL5G8KV	luciphia 1 Pack 3 Blankets Super Soft Fluffy Premium Fleece Pet Blanket Flannel Throw for Dog Puppy Love Small	2	1	0	1
TZ-IUYL240-DOT2-M	X001SNGQR5	B07DF81JBH	luciphia 1 Pack 3 Blankets Super Soft Fluffy Premium Fleece Pet Blanket Flannel Throw for Dog Puppy Cat Dot2 Medium	31	1	27	3
TZ-IUYL240-LOVE-M	X001SW002D	B07DL53SBF	luciphia 1 Pack 3 Blankets Super Soft Fluffy Premium Fleece Pet Blanket Flannel Throw for Dog Puppy Love Medium	2	1	1	0
TZ-IUYL240-DOT2-S	X001SO0HNN	B07DF9YBBV	luciphia 1 Pack 3 Blankets Super Soft Fluffy Premium Fleece Pet Blanket Flannel Throw for Dog Puppy Cat Dot2 Small	12	2	9	1
TZ-IUYL240-RABBIT-M	X001SNBSCD	B07DF6XZQC	luciphia 1 Pack 3 Blankets Super Soft Fluffy Premium Fleece Pet Blanket Flannel Throw for Dog Puppy Rabbit Medium	6	3	2	1
TZ-IUYL240-CHRISMAS-S	X001U9MEWD	B07FPGNFXV	luciphia 1 Pack 3 Blankets Super Soft Fluffy Premium Fleece Pet Blanket Flannel Throw for Dog Puppy Cat Christmas Small	22	0	20	2
