snapshot-date	sku	fnsku	ASIN	product-name	condition	avaliable-quantity(sellable)	qty-with-removals-in-progress	inv-age-0-to-90-days	inv-age-91-to-180-days	inv-age-181-to-270-days	inv-age-271-to-365-days	inv-age-365-plus-days	currency	qty-to-be-charged-ltsf-6-mo	projected-ltsf-6-mo	qty-to-be-charged-ltsf-12-mo	projected-ltsf-12-mo	units-shipped-last-7-days	units-shipped-last-30-days	units-shipped-last-60-days	units-shipped-last-90-days	alert	your-price	sales_price	lowest-price-new	lowest-price-used	Recommended action	Healthy Inventory Level	Recommended sales price	Recommended sale duration (days)	Recommended Removal Quantity	Estimated cost savings of removal	sell-through	cubic-feet	storage-type
2018-08-24	GW-IUHM-BONE-PK-L	X001U4KWTF	B07FM8ZD2W	luciphia Textiles Reversible Rectangle Pet Bed with Dog Paw and Bone Printing BONE-Pink,L(31.4x25.5In)	New	10	0	10	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	31.99	31.99	31.99	0.0	Advertise listing	0	25.59	63	0	7.767062	0.0	9.23103	Oversize
2018-08-24	KZ-LY021-GY-32	B0785PHFJC	B0785PHFJC	Luciphia Men's Fit Straight Leg Casual Pants	New	3	0	1	0	2	0	0	USD	2	0.0	0	0.0	0	0	1	1	Low conversion	40.0	12.0	12.0	0.0	Update inventory settings for:	3	12.0	0	0	0.0	0.36363636363636365	0.0	Standard
2018-08-24	XQ-IUYL320-GN-L	B07BLRDXJK	B07BLRDXJK	luciphia Cute Leather Dog Collar Green Large	New	4	0	0	4	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	9.99	9.99	9.99	0.0	Advertise listing	0	7.99	63	0	3.500511	0.0	0.002316	Standard
2018-08-24	GW-LULHY-4.5	X001SMPR7V	B078HNLGWS	luciphia 2 Packs Stainless Steel Pet Dog Bowl For Small Middle Large Cats Dogs Calibre-4.5In	New	8	0	8	0	0	0	0	USD	0	0.0	0	0.0	0	5	10	12	Low traffic	10.99	10.99	10.99	0.0	Lower price	8	10.99	0	0	0.0	1.2413793103448276	0.72012	Standard
2018-08-24	CWDZ-IULHY-DOT-NY-L	X001UL6T59	B07G2C1ZFN	luciphia Super Soft Fluffy Premium Fleece Pet Mat Flannel Throw for Dog Puppy Cat Bed Mats	New	5	0	5	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	12.99	12.99	12.99	0.0	Advertise listing	0	10.39	63	0	92.745103	0.0	0.887155	Standard
2018-08-24	TZ-IUYL240-BEAR-S	X001SNGXAF	B07DF6DDNM	luciphia 1 Pack 3 Blankets Super Soft Fluffy Premium Fleece Pet Blanket Flannel Throw for Dog Puppy Cat Bear Small	New	27	0	27	0	0	0	0	USD	0	0.0	0	0.0	24	103	135	150		13.99	13.99	13.99	0.0	Update inventory settings for:	11	13.99	0	0	0.0	6.521739130434782	2.1433679999999997	Standard
2018-08-24	GW-IUHM-BONE-PK-S	X001U3BFUV	B07FM6X922	luciphia Textiles Reversible Rectangle Pet Bed with Dog Paw and Bone Printing BONE-Pink,S(23.6x17.7In)	New	20	0	20	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	25.99	22.99	22.99	0.0	Lower price	0	0.0	0	0	0.0	0.0	7.209339999999999	Oversize
2018-08-24	SCF-C01-014	B075WRD5KM	B075WRD5KM	Women's Large Print Silk Scarf Floral Square Pashmina Shawl	New	2	0	0	0	1	1	0	USD	2	0.45	0	0.0	1	1	1	1		7.0	7.0	7.0	0.0	Create Sale	0	6.42	182	0	18.212757	0.36363636363636365	0.13124	Apparel
2018-08-24	ST172-PP-M	B074SMT9CV	B074SMT9CV	Men's Long Sleeve Formal Business Dress Shirts Purple Medium	New	3	0	0	0	0	3	0	USD	1	0.74	2	2.94	1	1	1	2		14.98	14.98	14.98	0.0	Create Sale	0	11.98	224	0	120.399161	0.5	0.6398820000000001	Apparel
2018-08-24	MJ-IUYL230-PK-S	X001OVSWZF	B079GS1ZJR	luciphia Ultra Absorbent Microfiber Drying Pet Towel for Dogs Cats Pink 19 x 13 inch	New	11	0	10	0	1	0	0	USD	1	0.34	0	0.0	0	1	3	3	Low traffic	9.0	9.0	9.0	0.0	Advertise listing	11	9.0	0	0	0.0	0.3870967741935484	1.08504	Standard
