Merchant SKU	Fulfilment Network SKU	ASIN	Title	Reserved Quantity	Reserved - Customer Order	Reserved - FC Transfer	Reserved - FC Processing
YZ-MCCL173-P0-XL	X001P1XK1F	B079NVPK5Y	Women's Flounced Striped High Waited Swimsuit Two Piece Bikini Set Purple XL	2	1	0	1
YZ-MCCL173-OR-XL	X001P1XK8X	B079NWXNZ7	Women's Flounced Striped High Waited Swimsuit Two Piece Bikini Set Orange XL	1	0	1	0
YZ-MCLE01-W0-M	X001QKPK81	B07B7L7K48	Womens High Waisted Bikini Set Flounce Top Two Piece Green Leaves Swimsuit	1	0	0	1
YZ-MCWS32-ZL-S	X001T1JK0B	B07C21WMP2	MiYang Navy Blue One Piece Swimsuit High Neck V-Neckline Mesh Ruched Monokini?Swinwear S US(4-6)	1	1	0	0
YZ-MCXZPW331-GE-3L	X001U2PUT9	B07FKK4VZY	MiYang Women Swimming Costume Tankini-Set	1	0	0	1
YZ-MCYF184-ZLBD-L	X001T1BJ9L	B07DKD8QPX	MiYang Halter Neck Maternity Tankini Tie-dye Striped Swimsuit Set Navy Polka Dot L	1	0	0	1
YZ-MCYF184-ZLBD-2XL	X001T1ELQT	B07DKGQ2G5	MiYang Halter Neck Maternity Tankini Tie-dye Striped Swimsuit Set Navy Polka Dot 2XL	1	1	0	0
YZ-NA1521-RM-5XL	X001FX1GNR	B06X9NZPVJ	MiYang Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 5XL	1	1	0	0
YZ-NA1521-GF-4XL	X001GDCZDL	B06X9L9FDB	MiYang Women's One Piece Bathing Suit Tankini Swimdress Cover Up Swimsuit 4XL	1	0	0	1
YZ-NA13037Or9L	X001F3MZM3	B01N531MXS	MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag 5XL/UK size XXL(US Size OX 12W) Orange	1	1	0	0
YZ-NA13037Or5L	X001IX29MB	B01AXSD8PC	MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag 5XL/UK size XXL(US Size OX 12W) Orange	1	0	0	1
YZ-NA13037Wi6L	X001ESZN05	B01MRL29E0	MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag 2XL/UK size M,Wine Red	1	0	0	1
YZ-NA13037EZ4L	X001GD4WWX	B01AXSDEWO	MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag 4XL/UK size XL,Blue and Green	1	0	0	1
YZ-NA1521-BF-5XL	X001HGHBB3	B06X9NCVM4	MiYang Women's One Piece Bathing Suit Tankini Swimdress Cover Up Swimsuit 5XL	1	0	0	1
YZ-NA5119ZL3XL	X001K1SPKV	B01FXAQRNK	MiYang Women's Plus-Size Flower Printing Shaping Body One Piece Swim Dresses Swimsuit  Navy Blue X-Large	2	1	0	1
YZ-NA5119K0-4XL	X001EANG0H	B01EJ5VT60	MiYang Women's Plus-Size Flower Printing Shaping Body One Piece Swim Dresses Swimsuit  Black XX-Large	1	1	0	0
YZ-NA5119-YH-3XL	X001GSVK2N	B01NAQ17N0	MiYang Women's Plus-Size Flower Printing Shaping Body One Piece Swim Dresses Swimsuit  Black Flower X-Large	1	0	0	1
YZ-NA5119-YH-4XL	X001GSXESV	B01NCSVUOC	MiYang Women's Plus-Size Flower Printing Shaping Body One Piece Swim Dresses Swimsuit Black Flower XX-Large	2	0	0	2
YZ-NA5119K0-3XL	X001E7SUVF	B01EJ5VRJE	MiYang Women's Plus-Size Flower Printing Shaping Body One Piece Swim Dresses Swimsuit Black X-Large	4	1	1	2
YZ-NA5505LbL	X001LESEOT	B01G3JENB8	MiYang Women's Tankini Striped Vintage Swim Dress (Light Blue Large)	1	0	0	1
YZ-ZQNA16121R0L	X001GDD0W1	B071XX713D	MiYang Plus Size Diamond Blouson Plus Size Swimwear Tankini	1	0	0	1
YZ7438K0XXL	X0014Z7G2V	B01F78AVEO	MiYang Vintage Sailor Pin Up Swimsuit One Piece Skirtini Cover Up Swimdress L Blackdot	1	1	0	0
