Merchant SKU	Fulfilment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
CA-HM1789-B0TW-S	X001LV9D1F	B06XWWLKNP	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	14.99	No		Yes	4	4	0	0	4	1768.98	0	0	0
CA-HM1789-B2-2XL	X001G4QYIH	B06XXDMBLP	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	12	12	0	0	12	752.33	0	0	0
CA-HM1789-B2-L	X001HG6B19	B06XWVLPRH	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	4	4	0	0	4	752.33	0	0	0
CA-HM1789-B2-M	X001HGHI43	B06XWZLBXL	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	4	3	1	0	4	752.33	0	0	0
CA-HM1789-B2-S	X001LOMFVR	B06XXDYCFP	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	17	14	2	1	17	752.33	0	0	0
CA-HM1789-B2-XL	X001LO2CSN	B06XX6QYT9	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	14	13	0	1	14	1267.21	0	0	0
CA-HM1789-Dot-2XL	X001SO3DXT	B07DFG942Y	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	17	16	0	1	17	1768.98	0	0	0
CA-HM1789-Dot-L	X001SNGIO1	B07DFFCKTM	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	16	16	0	0	17	752.33	0	0	1
CA-HM1789-Dot-M	X001SO3DXJ	B07DFB3XMF	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	19	16	2	1	19	752.33	0	0	0
CA-HM1789-Dot-S	X001SO2Y4X	B07DFJ57WK	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	14	11	3	0	14	1768.98	0	0	0
CA-HM1789-Dot-XL	X001SO3K4B	B07DFFZFR9	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	1	0	1	0	1	1768.98	0	0	0
CA-HM1789-FL-L	X001GSWQPD	B06XXCGWXQ	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	14.99	No		Yes	0	0	0	0	0	752.33	0	0	0
CA-HM1789-FL-XL	X001GSWQWV	B06XXBTHZK	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	14.99	No		Yes	0	0	0	0	0	752.33	0	0	0
CA-HM1789-GZ-2XL	X001LV9D1P	B06XXDBZVB	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	14.99	No		Yes	0	0	0	0	0	1768.98	0	0	0
CA-HM1789-GZ-L	X001GSVKKZ	B06XXGJKW1	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	14.99	No		Yes	0	0	0	0	0	752.33	0	0	0
CA-HM1789-GZ-M	X001HGQ9GL	B06XXDF459	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	14.99	No		Yes	0	0	0	0	0	752.33	0	0	0
CA-HM1789-GZ-S	X001LYWLDJ	B06XX1BZ9P	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	14.99	No		Yes	1	1	0	0	1	1768.98	0	0	0
CA-HM1789-GZ-XL	X001GSYBVZ	B06XWWSHKS	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	14.99	No		Yes	1	1	0	0	1	752.33	0	0	0
CA-HM1789-GrTW-2XL	X001LV9D2J	B06XWWR5DN	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	14.99	No		Yes	1	1	0	0	1	752.33	0	0	0
CA-HM1789-GrTW-L	X001LW8C0H	B06XX6W772	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	14.99	No		Yes	0	0	0	0	0	752.33	0	0	0
CA-HM1789-GrTW-M	X001LWCF73	B06XXC15LM	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	14.99	No		Yes	0	0	0	0	0	1768.98	0	0	0
CA-HM1789-GrTW-S	X001LW8LG7	B06XXD8SKZ	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	14.99	No		Yes	2	2	0	0	2	1768.98	0	0	0
CA-HM1789-GrTW-XL	X001HGPT0X	B06XXF8QVK	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	14.99	No		Yes	0	0	0	0	0	752.33	0	0	0
CA-HM1789-K0-2XL	X001DOWWBD	B06XXFGJ5Z	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	27	18	7	2	27	752.33	0	0	0
CA-HM1789-K0-L	X001DNQBG1	B06XWZDQBF	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	63	50	7	6	63	752.33	0	0	0
CA-HM1789-K0-M	X001DO1CNH	B06XXBMK3H	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	2	0	2	0	18	752.33	0	15	1
CA-HM1789-K0-S	X001DO6J4T	B06XXD5D68	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	17	10	4	3	17	752.33	0	0	0
CA-HM1789-K0-XL	X001DO1K75	B06XXC71R7	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	43	38	3	2	43	752.33	0	0	0
CA-HM1789-PI-2XL	X001LO24DL	B06XXCMLCL	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	10	10	0	0	10	1768.98	0	0	0
CA-HM1789-PI-L	X001LOMFVH	B06XXBRM57	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	0	0	0	0	0	1768.98	0	0	0
CA-HM1789-PI-M	X001LO24DB	B06XXFWS3X	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	0	0	0	0	0	1768.98	0	0	0
CA-HM1789-PI-S	X001LO24OP	B06XWZPCD4	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	4	3	0	1	4	1768.98	0	0	0
CA-HM1789-PI-XL	X001FX0XVD	B06XX6WB5H	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	0	0	0	0	0	752.33	0	0	0
CA-HM1789-PP-2XL	X001LV9R4N	B06XXDYCM1	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	14.99	No		Yes	1	1	0	0	1	1768.98	0	0	0
CA-HM1789-PP-M	X001HGQOVL	B06XXBRLF4	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	14.99	No		Yes	1	1	0	0	1	752.33	0	0	0
