snapshot-date	sku	fnsku	ASIN	product-name	condition	avaliable-quantity(sellable)	qty-with-removals-in-progress	inv-age-0-to-90-days	inv-age-91-to-180-days	inv-age-181-to-270-days	inv-age-271-to-365-days	inv-age-365-plus-days	currency	qty-to-be-charged-ltsf-6-mo	projected-ltsf-6-mo	qty-to-be-charged-ltsf-12-mo	projected-ltsf-12-mo	units-shipped-last-7-days	units-shipped-last-30-days	units-shipped-last-60-days	units-shipped-last-90-days	alert	your-price	sales_price	lowest-price-new	lowest-price-used	Recommended action
2018-08-24	YZ-NALLK0M	X001OHTXCF	B06W9P6JZT	MiYang Vintage Sailor Pin Up Swimsuit One Piece Skirtini Cover Up Swimdress S Black	New	4	0	0	4	0	0	0	CAD	4	4.9	0	0.0	0	0	0	0	Low conversion	32.99	32.99	32.99	0.0	Lower price
2018-08-24	YZ-NA5505R0-M	X001G4R6AH	B01N7F779G	MiYang Women's Tankini Striped Vintage Swim Dress	New	6	0	6	0	0	0	0	CAD	6	7.69	0	0.0	0	0	2	2	Low conversion	32.99	32.99	32.99	0.0	Lower price
2018-08-24	YZ-NA13037Pu2L	X001LCDPX1	B01AXSDCDK	MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag 2XL/UK size M,Purple	New	4	0	4	0	0	0	0	CAD	4	10.14	0	0.0	0	1	4	5	Low conversion	40.0	29.99	29.99	0.0	Lower price
2018-08-24	YZ-NA9008Se2L	X001HGLUXN	B015QZRVFK	MiYang Women's Bowknot Printing Skirt Spa Swimsuit Bathing Swimwear Black and blue S	New	1	0	0	1	0	0	0	CAD	1	0.84	0	0.0	0	0	0	1	Low conversion	32.99	32.99	32.99	0.0	Lower price
2018-08-24	YZ-NA13037Or5L	X001IX29MB	B01AXSD8PC	MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag 5XL/UK size XXL(US Size OX 12W) Orange	New	2	0	2	0	0	0	0	CAD	2	2.73	0	0.0	2	3	11	12	Low conversion	29.99	29.99	29.99	0.0	Lower price
2018-08-24	SJ-NA204-G0-XL	X001F1LI5F	B019O6JLG4	MiYang Women's Floral Lace Beach Bikini Swimwear Cover-up Green XL (US Size 10-12)	New	1	0	0	1	0	0	0	CAD	1	0.2	0	0.0	0	0	0	0	Low conversion	26.99	26.99	26.99	0.0	Lower price
2018-08-24	YZ-CA30CH-K0-M	X001HGQ9GB	B06XWTXLNW	MiYang Women's Sexy Crewneck One Piece Beachwear Bikini Monokini Swimsuit Black M	New	2	0	2	0	0	0	0	CAD	0	0.0	0	0.0	1	5	9	13		59.99	29.99	29.99	0.0	Lower price
2018-08-24	RC-MC001-R0-M	X001TSBBQ5	B07F7RD884	MiYang Raincoat for Kids Rain Jacket Dinosaur Shaped Lightweight Age 2-10 Unisex	New	1	0	1	0	0	0	0	CAD	1	0.0	0	0.0	1	1	1	1		20.99	20.99	20.99	0.0	Lower price
2018-08-24	YZ-NA263100L	X001HGQ2ZT	B01A6WG2QM	MiYang Women's One Piece Striped Slim Swim Dress Bathing Swimwear	New	1	0	1	0	0	0	0	CAD	0	0.0	0	0.0	0	1	1	2		29.99	29.99	29.99	0.0	Lower price
2018-08-24	YZ-MCYF182-R0-2XL	X001QJ3W41	B07BQRSCSH	MiYang Halter Maternity Tankini Cutout Pregnancy Swimsuit Abstract Print XX-Large(US 16-18)	New	1	0	1	0	0	0	0	CAD	1	0.01	0	0.0	0	0	0	0	Low traffic	29.99	29.99	29.99	0.0	Advertise listing
2018-08-24	PA-MC0717-K0-S	X001U6COFX	B07FMVN5Y8	MiYang Women's Yoga Palazzo Pants Wide Leg Loose Floral Print Drawstring	New	2	0	2	0	0	0	0	CAD	2	2.37	0	0.0	0	0	0	0	Low conversion	19.99	19.99	19.99	0.0	Lower price
2018-08-24	YZ-MCLE01-W0-L	X001QK6QBV	B07B7JL2Q5	Womens High Waisted Bikini Set Flounce Top Two Piece Green Leaves Swimsuit	New	8	0	8	0	0	0	0	CAD	0	0.0	0	0.0	0	7	9	9		29.99	29.99	29.99	0.0	Lower price
2018-08-24	LYQ-MCXZ1058-Z0-XS	X001TSW2VD	B07CXX5C4H	MiYang Women's Casual Tunic Top Short Sleeve Blouse T-Shirt Button Decor	New	4	0	4	0	0	0	0	CAD	4	2.87	0	0.0	0	0	1	1	Low conversion	19.99	19.99	19.99	0.0	Lower price
2018-08-24	LYQ-MCMX02-N0-XL	X001PXL3XZ	B0761NMRVR	MiYang Flare Sleeve Blouse Casual Dress Women Loose T-Shirt Swing Dress Brown XL	New	3	0	0	3	0	0	0	CAD	3	4.0	0	0.0	0	0	0	0	Low traffic	25.99	25.99	25.99	0.0	Advertise listing
2018-08-24	YZ-MCYF184-ZLBD-L	X001T1BJ9L	B07DKD8QPX	MiYang Halter Neck Maternity Tankini Tie-dye Striped Swimsuit Set Navy Polka Dot L	New	5	0	5	0	0	0	0	CAD	0	0.0	0	0.0	0	5	10	10		30.99	25.99	25.99	0.0	Lower price
2018-08-24	SJ-CA205-B0	X001O7YBUT	B06ZXST69F	MiYang Womens Chiffon Swimwear Cover-ups Bikini Swim Beach Wear Cover Up	New	1	0	1	0	0	0	0	CAD	0	0.0	0	0.0	1	2	2	2		17.99	17.99	17.99	0.0	Lower price
2018-08-24	CA-HM1789-Dot-M	X001SO3DXJ	B07DFB3XMF	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	18	0	18	0	0	0	0	CAD	18	5.42	0	0.0	1	19	49	55		15.99	15.99	15.99	0.0	Lower price
2018-08-24	YZ-NA1521-RM-5XL	X001FX1GNR	B06X9NZPVJ	MiYang Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 5XL	New	2	0	2	0	0	0	0	CAD	2	3.14	0	0.0	1	4	11	16	Low conversion	29.99	29.99	29.99	0.0	Lower price
2018-08-24	LYQ-MCCS04-CO-M	X001PKBZ1D	B0761PPMYR	MiYang Casual Long Sleeve Shirt Pockets Dress Fall Clothes for Women Coffee Medium	New	1	0	0	1	0	0	0	CAD	1	1.38	0	0.0	0	1	1	1	Low traffic	21.99	21.99	21.99	0.0	Advertise listing
2018-08-24	CA-HM1789-W0-XL	X001FX0XVX	B06XXD8SKQ	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	13	0	13	0	0	0	0	CAD	12	3.61	0	0.0	2	4	7	12	Low conversion	14.99	14.99	14.99	0.0	Lower price
2018-08-24	YZ-MCHY025-B0-L	X001T699I9	B07CNM2LT8	Women One Piece V-Neck Flounce Swimsuit Retro Cross Back Bikini	New	1	0	1	0	0	0	0	CAD	1	0.7	0	0.0	0	2	2	2		29.99	29.99	29.99	0.0	Lower price
2018-08-24	YZ-MCXZ388-K0-XL	X001TRM73R	B07F712X88	MiYang Women One Piece High Cut Deep V-Neck Halter Swimsuit Lace Mesh Vintage Swimwear Black	New	2	0	2	0	0	0	0	CAD	2	2.64	0	0.0	0	1	2	2	Low conversion	19.99	19.99	19.99	0.0	Lower price
2018-08-24	YZ-MCBKN1703-R0-S	X001PJ3Z0N	B06XCWWFRF	MiYang Women's Luxurious Pretty Double Straps Elegant Two Piece Bikini Set	New	2	0	0	2	0	0	0	CAD	2	0.59	0	0.0	0	0	0	0	Low traffic	19.99	19.99	19.99	0.0	Advertise listing
2018-08-24	YZ-MCBKN1703-R0-L	X001PLCFWF	B06XD7Y3CX	MiYang Women's Luxurious Pretty Double Straps Elegant Two Piece Bikini Set	New	1	0	0	1	0	0	0	CAD	1	0.78	0	0.0	0	0	1	1	Low traffic	19.99	19.99	19.99	0.0	Advertise listing
2018-08-24	YZ-MCHM172-ZL-M	X001O7597D	B078X8HY72	MiYang Womens One Piece Floral Lace Swimwear Printed Multi-Rope Harness Bathing Suit	New	17	0	17	0	0	0	0	CAD	15	21.24	0	0.0	7	34	58	71		21.99	21.99	21.99	0.0	Lower price
2018-08-24	YZ-MCHM172-ZL-XL	X001O763XR	B078X7KB91	MiYang Womens One Piece Floral Lace Swimwear Printed Multi-rope Harness Bathing Suit	New	3	0	3	0	0	0	0	CAD	3	4.25	0	0.0	5	16	42	51		21.99	21.99	21.99	0.0	Lower price
2018-08-24	YZ-MCHY025-B0-2XL	X001T696E1	B07CNHDD6P	Women One Piece V-Neck Flounce Swimsuit Retro Cross Back Bikini	New	2	0	2	0	0	0	0	CAD	2	1.4	0	0.0	0	0	0	0	Low conversion	29.99	29.99	29.99	0.0	Lower price
