Merchant SKU	Fulfillment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
DO-YULQ071-B7-16	X001Q3PE4X	B07BFV7XQM	Reborn Baby Dolls Twins Boy Lifelike Toddler Silicone Light Blue Outfit Giraffe Patterns 16 inches	New	149.00	No		Yes	5	5	0	0	5	0.45	0	0	0
DO-YULQ071-PI-16	X001Q3P3SF	B07BFVXXX8	Reborn Baby Dolls Twins Girl Lifelike Toddler Silicone Eye Closed Pink Outfit with Toy Bear 16 inches	New	149.00	No		Yes	6	6	0	0	6	0.28	0	0	0
DO-YULQ073-LGR-22	X001Q1D1M7	B0792VRZ89	Yesteria Reborn Baby Dolls Boy Look Real Silicone Grey Outfit 22 Inches	New	175.00	No		Yes	4	4	0	0	4	0.64	0	0	0
DO-YULQ081-B7-10	X001QBLAU7	B07BLRH5BR	Real Life Reborn Baby Dolls Boy Full Silicone Body Light Blue Outfit with Sleeping Bag 10 inches	New	198.00	No		Yes	10	10	0	0	10	0.12	0	0	0
DO-YULQ081-PI-10	X001QBCP33	B07BLRWT2V	Real Life Reborn Baby Dolls Girl Full Silicone Body Pink Outfit with Sleeping Bag 10 inches	New	198.00	No		Yes	8	8	0	0	8	0.78	0	0	0
DO-YULQ100-B7-22	X001OXEB21	B079JRPXZ8	Yesteria Real Life Silicone Reborn Baby Dolls Boy Look Real White Light Blue Outfit 22 Inches	New	156.99	No		Yes	86	82	2	2	86	0.39	0	0	0
DO-YULQ100-G0-10	X001PTUFGF	B07B9SLG9M	Silicone Reborn Baby Dolls Look Real Boy Knitted Outfit Green 10 Inches	New	125.00	No		Yes	5	5	0	0	5	0.1	0	0	0
DO-YULQ100-R0-10	X001PVRDSB	B07B9Q9YNG	Silicone Reborn Baby Dolls Look Real Girl Knitted Outfit Red 10 Inches	New	125.00	No		Yes	3	3	0	0	3	0.18	0	0	0
DO-YULQ105-R2-22	X001PORZDV	B0794Z23LW	Reborn Baby Dolls Girl Lifelike Toddler Silicone Vinyl Pink Outfit 22 Inches	New	69.99	No		Yes	2	2	0	0	2	0.63	0	0	0
DO-YULQ107-PI-22	X001PVRHN7	B0795PQJS1	Reborn Baby Dolls Girl Look Real Lifelike Toddler Silicone Vinyl Light Pink Knitted Outfit 22 Inches	New	89.99	No		Yes	10	10	0	0	10	0.16	0	0	0
DO-YULQ111-R2-22	X001PNOLC5	B078X5HG51	Reborn Baby Doll Girl Look Real Rose Red Tutu Skirt 22 Inches	New	91.60	No		Yes	46	46	0	0	46	0.67	0	0	0
DO-YULQ115-R2-22	X001QYGG7V	B0788N9R3H	Realistic Reborn Baby Doll Girl Silicone Vinyl Rose Red Tutu Skirt 22 Inches	New	79.99	No		Yes	4	4	0	0	4	0.8	0	0	0
DO-YULQ121-PI-22	X001RH0IXF	B07CM347WF	22 inches Real Looking Reborn Baby Dolls Girl Realistic Toddler Silicone Vinyl Pink European Retro Nightdress	New	156.00	No		Yes	6	6	0	0	6	0.12	0	0	0
DO-YULQ123-FB-22	X001Q2HXY3	B0792VZN9S	Real Life Reborn Baby Dolls Boy Baseball Sport Style White and Blue Outfit 22 inches	New	175.00	No		Yes	29	29	0	0	29	0.63	0	0	0
DO-YULQ123-W0-22	X001RH2M1L	B07CM52CNC	22 inches Real Looking Reborn Baby Dolls Girl Realistic Toddler Silicone Vinyl White European Retro Nightdress	New	156.00	No		Yes	2	2	0	0	2	0.46	0	0	0
DO-YULQ150-B7-18	X001Q5NP1Z	B0795QK1TP	Reborn Baby Dolls Boy Lifelike Toddler Silicone Vinyl Light Blue Outfit 18 Inches	New	156.00	No		Yes	5	3	0	2	5	0.25	0	0	0
DO-YULQ150-K0-22	X001RHMZSL	B07CN274MC	22 inches Full Silicone Body Reborn Baby Dolls Girl Real Looking Toddler Tutu Skirt	New	178.00	No		Yes	6	6	0	0	6	0.42	0	0	0
DO-YULQ150-PI-20	X001RH0E8J	B07CM664M7	20 inches Real Looking Reborn Baby Dolls Girl Silicone Vinyl Eye Closed Pink Pajama	New	152.00	No		Yes	39	38	0	1	39	0.22	0	0	0
DO-YULQ151-W0-16	X001RHMPFJ	B07CN4J157	16 inches Real Looking Reborn Baby Dolls Girl Realistic Toddler Silicone Cow Outfit	New	146.00	No		Yes	2	2	0	0	2	0.23	0	0	0
DO-YULQ152-B7-22	X001OX6U3T	B079JRG1TM		Unknown					0	0	0	0	0		0	0	0
DO-YULQ152-Z1-22	X001RHGRW1	B07CN4J1B2	22 inches Realistic Reborn Baby Dolls Girl Silicone with Toy Cow	New	156.00	No		Yes	5	5	0	0	5	0.66	0	0	0
DO-YULQ153-B7-22	X001Q1DFPP	B07BDDC5WH	Full Silicone Body Reborn Baby Doll Boy Light Blue Outfit with Hippo Pattern 22 inches	New	256.00	No		Yes	1	1	0	0	6	0.68	0	5	0
DO-YULQ153-TW-20	X001RH01TL	B07CLYNY71	20 inches Realistic Sleeping Reborn Baby Dolls Boy Silicone Vinyl Black and White Striped Outfit	New	152.00	No		Yes	5	5	0	0	5	0.67	0	0	0
DO-YULQ158-W0-22	X001PR0M47	B0795M2NML	Full Silicone Body Realistic Reborn Baby Dolls African Amrican Toddler with Curly Hair White Outfit 22 Inches	New	89.60	No		Yes	2	2	0	0	2	0.46	0	0	0
DO-YULQ159-R2-22	X001QD15OB	B07BNCFZXN	Reborn Baby Dolls Girl Full Silicone Body Look Real Rose Red Tutu Skirt 22 inches	New	99.60	No		Yes	24	23	0	1	24	0.69	0	0	0
DO-YULQ162-PI-16	X001Q1UFSF	B07BFVF3GM	Reborn Baby Dolls Girl Look Real Lifelike Toddler with Toy Chicken and Cushion White Baby Jumpsuit White Outfit 16 inches	New	149.00	No		Yes	4	4	0	0	9	0.23	0	5	0
DO-YULQ163-B7-22	X001QYJZ6P	B078XBDF6J	Real Looking Reborn Baby Dolls Twins Boy Silicone Light Blue 22 inches	New	256.00	No		Yes	7	7	0	0	7	0.26	0	0	0
DO-YULQ163-PI-22	X001R645H1	B078XBY1MZ	Real Looking Sleeping Reborn Baby Dolls Twins Girl Silicone Pink 22 inches	New	256.00	No		Yes	6	6	0	0	6	0.44	0	0	0
DO-YULQ165-B7-16	X001QBINPH	B07BLVB7FH	Soft Silicone Reborn Baby Dolls Boy Look Real Light Blue Outfit 16 inches	New	178.00	No		Yes	3	1	0	2	3	0.42	0	0	0
DO-YULQ165-PI-16	X001QBINPR	B07BLTPG2G	Sleeping Soft Silicone Reborn Baby Dolls Girl Look Real Pink Outfit 16 inches	New	178.00	No		Yes	2	2	0	0	2	0.04	0	0	0
DO-YULQ170-SH-22	X001TRM6U1	B07F72X354	Yesteria Real Looking Reborn Baby Doll Girl Realistic Newborn Toddler Floral Princess Dress 24 inches	New	256.00	No		Yes	5	5	0	0	5	0.99	0	0	0
DO-YULQ171-B0-22	X001P2XNRZ	B079NW9791	Realistic Reborn Baby Dolls Boy Toddler with Toy Bear Blue Outfit 22 inches	New	278.00	No		Yes	5	5	0	0	5	0.22	0	0	0
DO-YULQ171-LGR-22	X001POT6HT	B0795117ZD	Full Silicone Body Real Life Reborn Baby Dolls Boy Light Gray Outfit 22 Inches	New	89.60	No		Yes	11	11	0	0	11	0.67	0	0	0
DO-YULQ172-BD-22	X001P2SUNR	B079513H1Q	Reborn Baby Dolls Boy Look Real Lifelike Toddler Silicone Vinyl Dots Outfit With Toy Bear 22 Inches	New	159.99	No		Yes	2	2	0	0	2	0.36	0	0	0
DO-YULQ173-B7-22	X001Q1TXW9	B07BFVYCH2	Yesteria Silicone Reborn Baby Dolls Girl Look Real Lifelike Toddler Light Blue Rose Red Outfit with Toy Penguin 22 Inches	New	179.00	No		Yes	57	56	0	1	57	0.79	0	0	0
DO-YULQ187-BR-22	X001V47OG3	B07FYF8J1H	Reborn Baby Dolls Girl Look Real Pink and White Outfit Brown Curls 22 inches	New	178.00	No		Yes	3	3	0	0	3	0.94	0	0	0
DO-YULQ187-CV-22	X001V47O1D	B07FYGT2PC	Life Like Reborn Baby Dolls Girl Pink and White Outfit Blonde Curls 22 inches	New	178.00	No		Yes	2	1	0	1	2	0.95	0	0	0
DO-YULQ188-PI-22	X001UK2E27	B07G156Z7C	22 inches Silicone Vinyl Realistic Reborn Baby Doll Real Life Toddler with Toy Pink Graffe	New	256.00	No		Yes	0	0	0	0	3	0	0	3	0
DO-YULQ190-B7-22	X001ULAJMN	B07G2BPXQ7	Realistic Reborn Baby Doll Real Life Soft Body Silicone Vinyl Blue Outfit 22 Inches	New	256.00	No		Yes	3	3	0	0	3	0.99	0	0	0
DO-YULQ191-E0-22	X001UL7T21	B07G1Z8D76	Realistic Reborn Baby Doll Boy Silicone Vinyl Body Blue Outfit with Lovley Toy Bear 22 Inches	New	256.00	No		Yes	3	3	0	0	3	1.15	0	0	0
DO-YULQ192-G0-22	X001UO5NDZ	B07G41G2GB	Realistic Reborn Baby Doll Girl Toddler Real Life Lovely Silicone Vinyl Green Outfit 24 inches	New	256.00	No		Yes	3	3	0	0	3	1.01	0	0	0
DO-YULQ193-PI-24	X001V0GMBF	B07GDM6C8J	Real Looking Reborn Baby Doll Girl Realistic Toddler in Princess Dress Toy Bear 24 inch	New	199.00	No		Yes	0	0	0	0	0	0	0	0	0
DO-YULQ194-R0-24	X001V08VEB	B07GDPF7DB	Real Looking Reborn Baby Doll Girl Realistic Toddler in Red Floral Dress Toy Bear 24 inch	New	199.00	No		Yes	3	3	0	0	3	0.51	0	0	0
DO-YULQ195-R0-24	X001V0J4KL	B07GDNLTVF	Real Looking Reborn Baby Doll Girl Realistic Toddler in Red Princess Dress Toy Bear 24 inch	New	199.00	No		Yes	0	0	0	0	3	0	0	3	0
DO-YULQ196-PI-24	X001V0IZRT	B07GDQS6D2	Real Looking Reborn Baby Doll Girl Realistic Toddler Pink Outfit White Shoes with Toy Giraffe 24 inch	New	199.00	No		Yes	3	2	0	1	3	1.16	0	0	0
DO-YULQ197-PI-22	X001VAC3VN	B07GPX8D2X	Realistic Reborn Baby Doll Silicone Vinyl Real Life Newborn Pink Outfit with Toy Elephant 22 Inches	New	256.00	No		Yes	0	0	0	0	3	0	0	3	0
DO-YULQ198-PI-22	X001VA83WV	B07GPFK1RT	Realistic Reborn Baby Doll Silicone Vinyl Looking Real Newborn Bebe with Toy Pink Giraffe 22 Inches	New	256.00	No		Yes	0	0	0	0	3	0	0	3	0
