"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B01M98IB8X","B01A6WG2QM","MiYang Women's One Piece Striped Slim Swim Dress Bathing Swimwear","5","0.06%","5","0.05%","100%","0","0.00%","CAD0.00","0"
"B01M4LAA8J","B01AXSD1OK","MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag XL/UK size S Orange","15","0.18%","17","0.16%","82%","0","0.00%","CAD0.00","0"
"B01M4LAA8J","B01AXSD3V6","MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag 2XL/UK size M,Wine Red","5","0.06%","9","0.08%","44%","0","0.00%","CAD0.00","0"
"B01M4LAA8J","B01AXSD6KO","MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag 3XL/UK size L,Wine Red","7","0.08%","7","0.07%","100%","0","0.00%","CAD0.00","0"
"B01M4LAA8J","B01AXSDADC","MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag XL/UK size S Blue and Green","13","0.15%","14","0.13%","57%","0","0.00%","CAD0.00","0"
"B01M4LAA8J","B01AXSDB2C","MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag XL/UK size S Purple","20","0.23%","26","0.24%","77%","0","0.00%","CAD0.00","0"
"B01M4LAA8J","B01AXSDDFC","MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag 3XL/UK size L,Blue and Green","15","0.18%","19","0.18%","100%","0","0.00%","CAD0.00","0"
"B01M4LAA8J","B01AXSDE2E","MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag 3XL/UK size L,Purple","7","0.08%","8","0.07%","100%","0","0.00%","CAD0.00","0"
"B01M98IB8X","B01B184VYA","MiYang Women's One Piece Striped Slim Swim Dress Bathing Swimwear","10","0.12%","11","0.10%","82%","0","0.00%","CAD0.00","0"
"B06Y2Y9VT6","B01C9TE2BW","MiYang Women's Tankini Striped Vintage Swim Dress (Pink XX-Large)","4","0.05%","5","0.05%","100%","0","0.00%","CAD0.00","0"
"B01M8KNHIV","B01DLSNA3Q","MiYang Women's Two Pieces Stripes Slim Tankini Suit Bathing Swimwear","6","0.07%","13","0.12%","62%","0","0.00%","CAD0.00","0"
"B01M8KNHIV","B01DLSNBBC","MiYang Women's Two Pieces Stripes Slim Tankini Suit Bathing Swimwear","2","0.02%","4","0.04%","100%","0","0.00%","CAD0.00","0"
"B01M8KNHIV","B01DLSNCJI","MiYang Women's Two Pieces Diamond Slim Tankini Suit Bathing Swimwear","5","0.06%","6","0.06%","33%","0","0.00%","CAD0.00","0"
"B01M8KNHIV","B01DLSNDZG","MiYang Women's Two Pieces Diamond Slim Tankini Suit Bathing Swimwear","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
"B01M8QW10I","B01DXWQ69A","MiYang Womens Cross Double Colored Padded Push Up Halter Bikini Swimsuit Purple US 12-14","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
"B01M8QW10I","B01DXWQ86Q","MiYang Womens Cross Double Colored Padded Push Up Halter Bikini Swimsuit Purple US 16-18","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
"B01M8QW10I","B01DXWQIRA","MiYang Womens Cross Double Colored Padded Push Up Halter Bikini Swimsuit Blue US 8-10","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
"B01M8QW10I","B01DXWQP50","MiYang Womens Cross Double Colored Padded Push Up Halter Bikini Swimsuit Blue US 16-18","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
"B01M9D35Z3","B01E89VL06","MiYang Women's Polka Dot Halter Push up Slim Tankini Padded Swimsuit","12","0.14%","16","0.15%","100%","0","0.00%","CAD0.00","0"
"B01M4LQZL4","B01EN7V4XM","MiYang Retro Vintage Striped One Piece Monokini Chevron Lines Swimsuit M Blue and White Stripes","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
"B01M4LQZL4","B01EN7VPBI","MiYang Retro Vintage Striped One Piece Monokini Chevron Lines Swimsuit M Black and White Stripes","3","0.04%","4","0.04%","25%","0","0.00%","CAD0.00","0"
"B01M6WKAND","B01F3E3GAI","MiYang Vintage Sailor Pin Up Swimsuit One Piece Skirtini Cover Up Swimdress S NavyBlue","4","0.05%","4","0.04%","50%","0","0.00%","CAD0.00","0"
"B01M4LAA8J","B01F4P0S7A","MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag XL/UK size S Dark Green","4","0.05%","6","0.06%","50%","0","0.00%","CAD0.00","0"
"B01M4LAA8J","B01F4P0SZ2","MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag 2XL/UK size M,Dark Green","4","0.05%","4","0.04%","100%","0","0.00%","CAD0.00","0"
"B01M4LAA8J","B01F4P0V4A","MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag XL/UK size S Bright Orange","6","0.07%","6","0.06%","33%","0","0.00%","CAD0.00","0"
"B01M4LAA8J","B01F4P0VTU","MiYang Women's Shaping Body Swimsuit One-Piece Swimwear Spa Suit Size tag 2XL/UK size M,Bright Orange","2","0.02%","2","0.02%","100%","0","0.00%","CAD0.00","0"
"B01M4NM99X","B01FXAQNIO","MiYang Women's Plus-Size Flower Printing Shaping Body One Piece Swim Dresses Swimsuit ZL 1XL","12","0.14%","13","0.12%","54%","0","0.00%","CAD0.00","0"
"B01LZNUF5M","B01G1JZ7L0","MiYang Women's Fluorescent Halter Neck One Piece Monokinis Swimsuit Bathing Suit 2XL","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
"B01M6WKAND","B01G8H8WRG","MiYang Vintage Sailor Pin Up Swimsuit One Piece Skirtini Cover Up Swimdress M BlackStriped","1","0.01%","1","0.01%","100%","0","0.00%","CAD0.00","0"
"B01M9D35Z3","B01GJ2AO9E","MiYang Women's Polka Dot Halter Push Up Slim Tankini Padded Swimsuit","4","0.05%","4","0.04%","75%","0","0.00%","CAD0.00","0"
"B01M9D35Z3","B01GJ2ARXM","MiYang Women's Polka Dot Halter Push Up Slim Tankini Padded Swimsuit","5","0.06%","7","0.07%","100%","0","0.00%","CAD0.00","0"
"B01M9D35Z3","B01GJ2BBKU","MiYang Women's Polka Dot Halter Push Up Slim Tankini Padded Swimsuit","5","0.06%","5","0.05%","100%","0","0.00%","CAD0.00","0"
"B01M4NM99X","B01HFYMW04","MiYang Women's Plus-Size Flower Printing Shaping Body One Piece Swim Dresses Swimsuit YT XL","26","0.30%","26","0.24%","23%","0","0.00%","CAD0.00","0"
