"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B0788N9R3H","B0788N9R3H","Realistico Rinato Bambino Bambola Ragazza Occhi Chiusi Silicone Vestito Rosa 55 cm","100","1.72%","134","1.61%","100%","0","0.00%","€0.00","0"
"B079M2Y9NT","B0788NF4TB","Yesteria Realistico Reborn Baby Bambola Ragazzo Tutto il Corpo in Silicone Stile Bohémien Vestito Arancio 27 cm","36","0.62%","45","0.54%","100%","0","0.00%","€0.00","0"
"B079M2Y9NT","B0788P8DCG","Yesteria Realistico Reborn Baby Bambola Ragazza Tutto il Corpo in Silicone Stile Bohémien Vestito Marrone 27 cm","38","0.65%","43","0.52%","98%","0","0.00%","€0.00","0"
"B07BQP2FJH","B07929YDZM","Tutto il Corpo in Silicone Pieno Bambola Rinato Gemelli Rgazza Vestito a Maglia Rosa 55 cm","107","1.84%","156","1.88%","100%","0","0.00%","€0.00","0"
"B0792VRZ89","B0792VRZ89","55 cm Realistico Reborn Baby Bambola Ragazzo Bambino Rinato Vestito Grigio","35","0.60%","55","0.66%","100%","0","0.00%","€0.00","0"
"B0793RG3PM","B0793RG3PM","Yesteria Reale Bambola Reborn Bambino Silicone Ragazzo Jumpsuit a Righa Rosso 55 cm","313","5.39%","403","4.86%","100%","0","0.00%","€0.00","0"
"B079JQCWQ6","B079JQCWQ6","55 cm Bambola Realistica Silicone Bambini Ragazza Vestito Bianco e Rosa","16","0.28%","26","0.31%","100%","0","0.00%","€0.00","0"
"B079JRDT89","B079JRDT89","55 cm Bambole Bambino Rinato Ragazza Silicone Occhi Chiusi Vestito Rosa","8","0.14%","11","0.13%","100%","0","0.00%","€0.00","0"
"B079JRPXZ8","B079JRPXZ8","55 cm Bambola Realistica Silicone Bambini Ragazzo Vestito Bianco Modello di Coccodrillo","26","0.45%","37","0.45%","100%","0","0.00%","€0.00","0"
"B079MCF1DS","B079NX5R9C","Yesteria Vestiti Bambole per Bambole Reborn da 50-55 cm Modello di Mucca Rosa","12","0.21%","12","0.14%","100%","0","0.00%","€0.00","0"
"B079MCF1DS","B079NXJZ52","Yesteria Vestiti Bambole per Bambole Reborn Accessori da 50-55 cm Rosa","16","0.28%","18","0.22%","100%","0","0.00%","€0.00","0"
"B079NYR8GC","B079NYR8GC","40 cm Realistico Reborn Baby Bambola Ragazza Silicone Vestito Bianco","93","1.60%","151","1.82%","100%","0","0.00%","€0.00","0"
"B079MCF1DS","B079P28VV3","Yesteria Vestiti Bambole per Bambole Reborn da 50-55 cm Rosa","11","0.19%","12","0.14%","100%","0","0.00%","€0.00","0"
"B07BM7G52Z","B07BM7G52Z","Bambole Reborn in Silicone Ragazza Vestito Rosa Rossa 55 cm","68","1.17%","92","1.11%","100%","0","0.00%","€0.00","0"
"B07BRK2R83","B07BRK2R83","40 cm Bambola Realistica Silicone Bambini Ragazza Vestito Viola Chiaro con Giocattolo Orso","5","0.09%","5","0.06%","100%","0","0.00%","€0.00","0"
"B07CM52CNC","B07CM52CNC","Yesteria 50 cm Bambola Rinato Rgazza Realistica Reborn Baby Doll in Silicone Vinile Camicia da Notte Bianco Retrò","108","1.86%","131","1.58%","100%","0","0.00%","€0.00","0"
"B07CM664M7","B07CM664M7","Yesteria 50 cm Realistico Reborn Baby Bambola Ragazza Silicone Tuta da Bambina Rosa Chiaro","2","0.03%","3","0.04%","100%","0","0.00%","€0.00","0"
"B07CM9N213","B07CM9N213","Yesteria 55 cm Bambole in Silicone Reborn Baby Doll Ragazza Gonna Tutu Rosa Rosso con Pantaloni a Righe","16","0.28%","17","0.20%","100%","0","0.00%","€0.00","0"
"B07D4D6Q9C","B07D4D6Q9C","60 cm Bambola Realistica Silicone Bambini Ragazzo Vestito da Scimmia Pantaloni Blu Scarpe Bianche","18","0.31%","25","0.30%","100%","0","0.00%","€0.00","0"
"B07D4DRFYN","B07D4DRFYN","60 cm Bambola Realistica Silicone Bambini Ragazza Vestito Rosa Scarpe Bianche con Giocattolo Giraffa","6","0.10%","6","0.07%","100%","0","0.00%","€0.00","0"
"B07DDB7VBP","B07DDB7VBP","40 cm Bambola Realistica Silicone Bambini Ragazza Vestito Rosa Chiaro","8","0.14%","8","0.10%","100%","0","0.00%","€0.00","0"
"B07F72X354","B07F72X354","Yesteria Realistico Reborn Bambola Bambino Reonato Tutu Floreale Principessa 55cm","56","0.96%","75","0.90%","100%","0","0.00%","€0.00","0"
"B07F73THXK","B07F73THXK","Yesteria Realistico Reborn Bambola Bambino Reonato Raqazza Tutu Plaid Principessa 55cm","69","1.19%","93","1.12%","99%","0","0.00%","€0.00","0"
"B07G1WRYLK","B07G1WRYLK","Yesteria 42 cm Bambola Realistic In Silicone Bambina e Morbida Tutina Bianca e Rosa","6","0.10%","9","0.11%","100%","0","0.00%","€0.00","0"
