"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B07BLRW9H6","B07BLRWT2V","Real Life Reborn Baby Dolls Girl Full Silicone Body Pink Outfit with Sleeping Bag 10 Inches","29","0.27%","36","0.26%","100%","0","0.00%","US$0.00","0"
"B07BLVVHBC","B07BLTPG2G","Sleeping Soft Silicone Reborn Baby Dolls Girl Look Real Pink Outfit 16 inches","6","0.06%","6","0.04%","50%","0","0.00%","US$0.00","0"
"B07BLVVHBC","B07BLVB7FH","Soft Silicone Reborn Baby Dolls Boy Look Real Light Blue Outfit 16 inches","5","0.05%","5","0.04%","100%","0","0.00%","US$0.00","0"
"B07BNCFZXN","B07BNCFZXN","Reborn Baby Dolls Girl Full Silicone Body Look Real Rose Red Tutu Skirt 22 inches","20","0.19%","26","0.19%","100%","0","0.00%","US$0.00","0"
"B07BRK2R83","B07BRK2R83","Real Life Reborn Baby Dolls Girl Look Real Silicone Vinyl Pink Outfit 15 inches","3","0.03%","6","0.04%","100%","0","0.00%","US$0.00","0"
"B07BSC5Q33","B07BSC5Q33","Reborn Baby Dolls Girl Look Real Silicone Dot Outfit Red Pants 22 inches","2","0.02%","3","0.02%","100%","0","0.00%","US$0.00","0"
"B07BSD41QJ","B07BSD41QJ","Sleeping Reborn Baby Dolls Girl Look Real Silicone Pink Outfit 22 inches","105","0.99%","142","1.04%","100%","0","0.00%","US$0.00","0"
"B07BSFP5QZ","B07BSFP5QZ","Realistic Reborn Baby Dolls Boy Look Real Silicone White Outfit with Crocodile Patterns 22 inches","12","0.11%","14","0.10%","100%","0","0.00%","US$0.00","0"
"B07CM52CNC","B07CM52CNC","22 inches Real Looking Reborn Baby Dolls Girl Realistic Toddler Silicone Vinyl White European Retro Nightdress","1","0.01%","2","0.01%","100%","0","0.00%","US$0.00","0"
"B07CN4J157","B07CN4J157","16 inches Real Looking Reborn Baby Dolls Girl Realistic Toddler Silicone Cow Outfit","32","0.30%","49","0.36%","98%","0","0.00%","US$0.00","0"
"B07CN76YH9","B07CN76YH9","22 inches Real Looking Reborn Baby Dolls Girl Realistic Toddler Silicone Rose Red Outfit","86","0.81%","96","0.70%","100%","0","0.00%","US$0.00","0"
"B07D4D4876","B07D4D4876","22 inches Real Looking Reborn Baby Doll Realistic Toddler Silicone Baseball Jacket White Pants White Shoes","12","0.11%","16","0.12%","94%","0","0.00%","US$0.00","0"
"B07D4D6Q9C","B07D4D6Q9C","24 inches Realistic Reborn Baby Doll Silicone Monkey Coat Blue Pants White Shoes","2","0.02%","2","0.01%","100%","0","0.00%","US$0.00","0"
"B07D4DC72D","B07D4DC72D","24 inches Reborn Baby Doll Silicone Vinyl Realistic Toddler Panda Coat Black Pants with Shoes","9","0.09%","17","0.12%","0%","0","0.00%","US$0.00","0"
"B07D4DDT41","B07D4DDT41","24 inches Reborn Baby Doll Real Looking Toddler Blue Jacket with Crocodile Striped Pants White Shoes","11","0.10%","15","0.11%","93%","0","0.00%","US$0.00","0"
