"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B07DPG3XWT","B002DL9M2G","Premier Dead Sea Luxurious Anti-aging Neck Cream, 2.04 oz","21","0.31%","28","0.32%","86%","4","0","19.05%","0.00%","US$156.84","US$0.00","4","0"
"B002DPS40I","B002DPS40I","Premier Dead Sea Skin Toner Normal To Dry Skin","63","0.94%","77","0.88%","36%","8","0","12.70%","0.00%","US$174.81","US$0.00","8","0"
"B002DV0KDQ","B002DV0KDQ","Premier Dead Sea Luxury Moisture Cream for Multi-Use","89","1.32%","113","1.29%","12%","2","0","2.25%","0.00%","US$35.98","US$0.00","2","0"
"B07DPGJQ3G","B002DV0KDQ","Premier Dead Sea Luxury Moisture Cream for Multi-Use","24","0.36%","36","0.41%","22%","2","0","8.33%","0.00%","US$35.48","US$0.00","2","0"
"B002DYY35Y","B002DYY35Y","Premier Dead Sea Mineral Body Treatment - Salt Scrub - Lemon Aroma","38","0.57%","49","0.56%","53%","6","0","15.79%","0.00%","US$107.94","US$0.00","4","0"
"B07DPFMP1Z","B002DYY35Y","Premier Dead Sea Mineral Body Treatment - Salt Scrub - Lemon Aroma","10","0.15%","12","0.14%","92%","2","0","20.00%","0.00%","US$34.78","US$0.00","2","0"
"B002QSD1YQ","B002QSD1YQ","Dead Sea Premier Moisture Cream for Normal to Dry Skin","90","1.34%","123","1.40%","94%","12","0","13.33%","0.00%","US$479.88","US$0.00","12","0"
"B00383XLTS","B00383XLTS","Premier Dead Sea Biox Intensive Age Treatment Eye Cream Gel","76","1.13%","96","1.09%","8%","2","0","2.63%","0.00%","US$103.78","US$0.00","2","0"
"B00384AO7O","B00384AO7O","Dead Sea Premier Moisture Cream (for very dry & sensitive skin)","96","1.43%","136","1.55%","19%","2","0","2.08%","0.00%","US$73.78","US$0.00","1","0"
"B07DPFFMXJ","B003CEA88U","Gratiae Organics Facial Cleansing Lotion, 6.8 Ounce","4","0.06%","6","0.07%","50%","2","0","50.00%","0.00%","US$41.18","US$0.00","2","0"
"B003NJKS48","B003NJKS48","Dead Sea Premier Luxury Milk Cleanser","20","0.30%","23","0.26%","87%","2","0","10.00%","0.00%","US$61.38","US$0.00","2","0"
"B003NQ7P0Q","B003NQ7P0Q","Premier Dead Sea Nourishing Cream for Men (tube)","113","1.68%","137","1.56%","69%","50","0","44.25%","0.00%","US$899.50","US$0.00","40","0"
"B003Y7CMF2","B003Y7CMF2","Premier Dead Sea Instant Stretching and Revitalizing Lifting Mask - 2.04 oz Ounce","62","0.92%","74","0.84%","97%","4","0","6.45%","0.00%","US$159.96","US$0.00","4","0"
"B07DPFQL49","B003Y7CMF2","Premier Dead Sea Instant Stretching and Revitalizing Lifting Mask - 2.04 oz Ounce","17","0.25%","23","0.26%","91%","1","0","5.88%","0.00%","US$38.59","US$0.00","1","0"
"B003Y7D0HQ","B003Y7D0HQ","Premier Dead Sea Pearl White Cream Complex, 2.04-Fluid Ounce","45","0.67%","59","0.67%","10%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07DPDS1XR","B003Y7D0HQ","Premier Dead Sea Pearl White Cream Complex, 2.04-Fluid Ounce","14","0.21%","18","0.20%","44%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B003Y7EU16","B003Y7EU16","Premier Dead Sea Day Cream Complex (for normal to dry skin)","78","1.16%","88","1.00%","40%","2","0","2.56%","0.00%","US$107.98","US$0.00","2","0"
