"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B0788N9R3H","B0788N9R3H","Yesteria Reborn Babypuppe Mädchen Blick Echt Rose Rot Tutu Rock 55 cm","28","0.47%","37","0.45%","100%","0","0.00%","€0.00","0"
"B079JYSJYC","B0788NF4TB","Yesteria Schwarz Reborn Babypuppe Junge Look Real Voller Silikonkörper Böhmischen Stil Outfit 27 cm","3","0.05%","3","0.04%","100%","0","0.00%","€0.00","0"
"B079JYSJYC","B0788P8DCG","Yesteria Schwarz Reborn Babypuppe Mädchen Look Real Voller Silikonkörper Böhmischen Stil Outfit 27 cm","4","0.07%","5","0.06%","100%","0","0.00%","€0.00","0"
"B07BNJTVQ1","B07929YDZM","Voller Silikon Körper Reborn Baby Doll Mädchen Echt Aussehende Rosa Gestrickte Outfit 43 cm","197","3.30%","259","3.13%","100%","0","0.00%","€0.00","0"
"B0792VG6VZ","B0792VG6VZ","Yesteria 45 cm Reborn Babypuppen Junge Baby Doll Look Real Silikon Blaues Outfit","61","1.02%","72","0.87%","100%","0","0.00%","€0.00","0"
"B0793RG3PM","B0793RG3PM","Real Life Silikon Reborn Babypuppen Junge Schau Echt Gestreiften Overall 55 cm","45","0.75%","54","0.65%","100%","0","0.00%","€0.00","0"
"B079JP34CD","B079NX5R9C","Yesteria Reborn Babypuppe Kleidung Junge Zubehör für 50-55 cm Hellblau Kleidung","2","0.03%","2","0.02%","100%","0","0.00%","€0.00","0"
"B079JP34CD","B079NXJZ52","Yesteria Reborn Babypuppe Kleidung Junge Zubehör für 50-55 cm Weiße und Hellblaue Hosen","5","0.08%","5","0.06%","100%","0","0.00%","€0.00","0"
"B079NYR8GC","B079NYR8GC","Yesteria Reborn Baby Doll Mädchen Lebensechtes Kleinkind Silicon Outfit mit Weißem Schönem Kleid 40 cm","19","0.32%","23","0.28%","100%","0","0.00%","€0.00","0"
"B079JP34CD","B079P28VV3","Yesteria Reborn Babypuppe Kleidung Junge Zubehör für 50-55 cm Hell Blau Kleidung","6","0.10%","8","0.10%","100%","0","0.00%","€0.00","0"
"B079JP34CD","B079P55XYW","Yesteria Reborn Babypuppe Kleidung Junge Zubehör für 50-55 cm Rosa Kleidung","3","0.05%","3","0.04%","100%","0","0.00%","€0.00","0"
"B07BHMXQ7H","B07BHMXQ7H","Yesteria Reborn Babypuppen Mädchen Look Real Silikon Licht Lila Outfit 40 cm","10","0.17%","12","0.14%","100%","0","0.00%","€0.00","0"
"B07BHMZT4Y","B07BHMZT4Y","Yesteria Realistische Reborn Baby Doll Mädchen Silikon Denim Skirt 55 cm","114","1.91%","151","1.82%","100%","0","0.00%","€0.00","0"
"B07BM7G52Z","B07BM7G52Z","Yesteria Realistische Reborn Baby Doll Mädchen Silikon Rose Rot Ausrüstung 55 cm","183","3.06%","301","3.63%","100%","0","0.00%","€0.00","0"
"B07BRK2R83","B07BRK2R83","Yesteria Reborn Baby Doll Mädchen Lebensechtes Kleinkind Silicone Vinyl Rosa Outfit 38cm","14","0.23%","16","0.19%","100%","0","0.00%","€0.00","0"
"B07CM52CNC","B07CM52CNC","Yesteria 55 cm Reales Schauendes Wiedergeborenes Baby Puppen Mädchen Realistisches Kleinkind Silikon Vinylweißes Europäisches Retro Nachthemd","38","0.64%","47","0.57%","100%","0","0.00%","€0.00","0"
"B07D4D6Q9C","B07D4D6Q9C","Yesteria Realistische Reborn Baby Puppe Silikon Affe Mantel mit Blaue Hosen Weiße Schuhe 60cm","11","0.18%","21","0.25%","100%","0","0.00%","€0.00","0"
"B07D4DRFYN","B07D4DRFYN","Yesteria Realistische Reborn Baby Puppe Silikon Mädchen Rosa Outfit Weiße Schuhe mit Spielzeug Giraffe 60cm","22","0.37%","27","0.33%","96%","0","0.00%","€0.00","0"
"B07DDB7VBP","B07DDB7VBP","Yesteria Reborn Baby Doll Mädchen Lebensechtes Kleinkind Silicone Vinyl Hellrosa Kleid 40 cm","7","0.12%","9","0.11%","100%","0","0.00%","€0.00","0"
"B07DGB6SHX","B07DGB6SHX","Yesteria Reborn Baby Doll Schlafendes Mädchen Lebensechtes Kleinkind Silicone Helllila Tutu Kleid 55 cm","52","0.87%","64","0.77%","95%","0","0.00%","€0.00","0"
"B07F71667Y","B07F71667Y","Yesteria Realistische Reborn Baby Doll Neugeborenes Mädchen Tutu Rosa Prinzessin 55 cm","34","0.57%","47","0.57%","100%","0","0.00%","€0.00","0"
"B07F72X354","B07F72X354","Yesteria Realistische Reborn Baby Doll Neugeborenes Mädchen Blumen-Tutu Prinzessin 55 cm","15","0.25%","26","0.31%","100%","0","0.00%","€0.00","0"
"B07F73THXK","B07F73THXK","Yesteria Realistische Reborn Baby Doll Neugeborenes Mädchen Tutu Plaid Prinzessin 55 cm","22","0.37%","29","0.35%","100%","0","0.00%","€0.00","0"
"B07G1WRYLK","B07G1WRYLK","Yesteria Reborn Baby Doll Mädchen Lebensechte Weiche Körper Rosa Outfit 42cm","30","0.50%","42","0.51%","100%","0","0.00%","€0.00","0"
