sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
LYQ-MU1059-N0-2XL	X001RXZZ3R	B07CYMJPP4	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	0	0	0	0	0	0	0	0	0
LYQ-MU1059-N0-L	X001RYHXBX	B07CYR43N4	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	0	0	0	0	0	0	0	0	0
LYQ-MU1059-N0-M	X001RYCTKX	B07CYKMJJC	Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	0	0	0	0	0	0	0	0	0
LYQ-MU1059-N0-S	X001RYCTL7	B07CYQJP8X	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	0	0	0	0	0	0	0	0	0
LYQ-MU1059-N0-XL	X001RXRHTH	B07CYGSYLL	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	0	0	0	0	0	0	0	0	0
LYQ-MU1059-N0-XS	X001RYHK4X	B07CYQNCS2	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	0	0	0	0	0	0	0	0	0
LYQ-MU1059-P0-2XL	X001RXRHTR	B07CYWRV4J	Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	0	0	0	0	0	0	0	0	0
LYQ-MU1059-P0-L	X001RXRHU1	B07CYFP393	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	0	0	0	0	0	0	0	0	0
LYQ-MU1059-P0-M	X001RYCZW5	B07CYLZT8F	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	0	0	0	0	0	0	0	0	0
LYQ-MU1059-P0-S	X001RYHXBN	B07CYKHFB6	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	0	0	0	0	0	0	0	0	0
LYQ-MU1059-P0-XL	X001RYBP2B	B07CZ1BNSM	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	0	0	0	0	0	0	0	0	0
LYQ-MU1059-P0-XS	X001RYBLKR	B07CYNMN26	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	0	0	0	0	0	0	0	0	0
LYQ-MU1059-PR-2XL	X001RY0CLB	B07CYNJ1BC	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	15	15	0	0	15	0.09	0	0	0
LYQ-MU1059-PR-L	X001RYJGLX	B07CYGGG5Z	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	15	15	0	0	15	0.09	0	0	0
LYQ-MU1059-PR-M	X001RXRHT7	B07CYJ4RL7	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	15	15	0	0	15	0.09	0	0	0
LYQ-MU1059-PR-S	X001RXZZ41	B07CYSMRTS	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	14	14	0	0	14	0.09	0	0	0
LYQ-MU1059-PR-XL	X001RYBLL1	B07CYMC3KF	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	15	15	0	0	15	0.09	0	0	0
LYQ-MU1059-PR-XS	X001RYCZVL	B07CYMVYND	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	15	15	0	0	15	0.09	0	0	0
LYQ-MU1059-Z0-2XL	X001RYJGNV	B07CYMNJD7	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	15	15	0	0	15	0.09	0	0	0
LYQ-MU1059-Z0-L	X001RYBLLL	B07CYT7PD1	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	15	15	0	0	15	0.09	0	0	0
LYQ-MU1059-Z0-M	X001RYCPUR	B07CYQ7PVY	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	15	15	0	0	15	0.09	0	0	0
LYQ-MU1059-Z0-S	X001RYJGMH	B07CYNY9NG	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	15	15	0	0	15	0.09	0	0	0
LYQ-MU1059-Z0-XL	X001RY0437	B07CYT77Z3	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	15	15	0	0	15	0.09	0	0	0
LYQ-MU1059-Z0-XS	X001RYHK4N	B07CYN5LK2	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	New	15.99	No		Yes	14	14	0	0	14	0.09	0	0	0
LYQ-MU18-BD-L	X001OEEQ9N	B0792R4JFL	MiYang Women's Loose Solid Long Sleeve Tunic T-Shirt Dress Burgundy Large	New	35.00	No		Yes	3	3	0	0	3	0.13	0	0	0
LYQ-MU18-BD-M	X001ODLZYX	B0792PMVJP	MiYang Women's Loose Solid Long Sleeve Tunic T-Shirt Dress Burgundy Medium	New	35.00	No		Yes	41	41	0	0	41	0.13	0	0	0
LYQ-MU18-BD-S	X001ODM37V	B0792Q4D4Y	MiYang Women's Loose Solid Long Sleeve Tunic T-Shirt Dress Burgundy Small	New	35.00	No		Yes	26	26	0	0	26	0.13	0	0	0
LYQ-MU18-BD-XL	X001OEEPVR	B0792QCRJZ	MiYang Women's Loose Solid Long Sleeve Tunic T-Shirt Dress Burgundy X-Large	New	35.00	No		Yes	19	19	0	0	19	0.13	0	0	0
