amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
S01-1715968-5345016	010-K0-XL	2018-08-14T14:29:56+00:00	2018-08-21T01:08:57+00:00	Shipped	Amazon	Non-Amazon			Standard	Luciphia Women's Tops Long Sleeve A-Line Lace Stitching Trim Casual Tunic Dress XL Black	LYQ-WF7125-KO-XL	B077XVV8MB	Unshipped	4										Baton Rouge	LA	70808	US		false		
S01-3462013-2109047	010-K0-S	2018-08-14T14:28:53+00:00	2018-08-20T00:31:17+00:00	Shipped	Amazon	Non-Amazon			Standard	Luciphia Women's Tops Long Sleeve A-Line Lace Stitching Trim Casual Tunic Dress S Black	LYQ-WF7125-KO-S	B077XQBJQ8	Unshipped	5										Baton Rouge	LA	70808	US		false		
S01-0283837-8142670	010-K0-M	2018-08-14T14:28:09+00:00	2018-08-19T21:20:30+00:00	Shipped	Amazon	Non-Amazon			Standard	Luciphia Women's Tops Long Sleeve A-Line Lace Stitching Trim Casual Tunic Dress M Black	LYQ-WF7125-KO-M	B077XTZVP8	Unshipped	3										Baton Rouge	LA	70808	US		false		
S01-1813750-6667428	010-K0-L	2018-08-14T14:27:28+00:00	2018-08-22T00:59:59+00:00	Shipped	Amazon	Non-Amazon			Standard	Luciphia Women's Tops Long Sleeve A-Line Lace Stitching Trim Casual Tunic Dress L Black	LYQ-WF7125-KO-L	B077XVSQHX	Unshipped	4										Baton Rouge	LA	70808	US		false		
S01-6347578-1057004	010-K0-2L	2018-08-14T14:25:42+00:00	2018-08-20T00:40:13+00:00	Shipped	Amazon	Non-Amazon			Standard	Luciphia Women's Tops Long Sleeve A-Line Lace Stitching Trim Casual Tunic Dress 2XL Black	LYQ-WF7125-K0-2L	B077XX5X7K	Unshipped	5										Baton Rouge	LA	70808	US		false		
S01-0303662-1656207	010-B0-XL	2018-08-14T14:24:06+00:00	2018-08-19T20:28:56+00:00	Shipped	Amazon	Non-Amazon			Standard	Women's Tops Long Sleeve A-line Lace Stitching Trim Casual Tunic Dress XL Blue	LYQ-WF7125-BO-XL	B077XQDLK8	Unshipped	4										Baton Rouge	LA	70808	US		false		
S01-3827190-3917006	010-B0-S	2018-08-14T14:23:06+00:00	2018-08-19T20:36:54+00:00	Shipped	Amazon	Non-Amazon			Standard	Women's Tops Long Sleeve A-line Lace Stitching Trim Casual Tunic Dress S Blue	LYQ-WF7125-BO-S	B077XRHLYX	Unshipped	4										Baton Rouge	LA	70808	US		false		
S01-5478388-1173035	010-B0-L	2018-08-14T14:20:40+00:00	2018-08-20T01:13:20+00:00	Shipped	Amazon	Non-Amazon			Standard	Women's Tops Long Sleeve A-line Lace Stitching Trim Casual Tunic Dress L Blue	LYQ-WF7125-BO-L	B077XX3FN9	Unshipped	3										Baton Rouge	LA	70808	US		false		
S01-2015342-1136245	010-B0-2X	2018-08-14T14:18:31+00:00	2018-08-20T00:18:16+00:00	Shipped	Amazon	Non-Amazon			Standard	Women's Tops Long Sleeve A-line Lace Stitching Trim Casual Tunic 2XL Dress Blue	LYQ-WF7125-BO-2X	B077XTXJ7Q	Unshipped	3										Baton Rouge	LA	70808	US		false		
S01-5575169-3247456	B074SK47ZJ	2018-08-14T13:29:00+00:00	2018-08-20T20:06:48+00:00	Shipped	Amazon	Non-Amazon			Standard	Men's Short Sleeve Formal Dress Shirts Wine Red Small	ST173-WR-S	B074SK47ZJ	Unshipped	10										Baton Rouge	LA	70808	US		false		
S01-0532222-9783456	B074SN3YQT	2018-08-14T13:27:50+00:00	2018-08-16T18:53:26+00:00	Shipped	Amazon	Non-Amazon			Standard	MOCOTONO Men's Short Sleeve Formal Dress Shirts Wine Red Medium	ST173-WR-M	B074SN3YQT	Unshipped	5										Baton Rouge	LA	70808	US		false		
S01-7177176-5404264	B074SPF7P1	2018-08-14T13:27:07+00:00	2018-08-18T08:19:47+00:00	Shipped	Amazon	Non-Amazon			Standard	MOCOTONO Men's Short Sleeve Formal Dress Shirts Wine Red Large	ST173-WR-L	B074SPF7P1	Unshipped	4										Baton Rouge	LA	70808	US		false		
S01-2479760-2609034	B074SNF6PC	2018-08-14T13:25:28+00:00	2018-08-20T20:16:46+00:00	Shipped	Amazon	Non-Amazon			Standard	Men's Short Sleeve Formal Dress Shirts Navy Small	ST173-NY-S	B074SNF6PC	Unshipped	12										Baton Rouge	LA	70808	US		false		
S01-9657290-2700241	B074SVYFJC	2018-08-14T13:24:41+00:00	2018-08-21T04:06:37+00:00	Shipped	Amazon	Non-Amazon			Standard	Men's Short Sleeve Formal Dress Shirts Gray Small	ST173-GR-S	B074SVYFJC	Unshipped	10										Baton Rouge	LA	70808	US		false		
S01-2756275-4366615	B074SZJYJJ	2018-08-14T13:23:51+00:00	2018-08-16T18:52:54+00:00	Shipped	Amazon	Non-Amazon			Standard	Men's Short Sleeve Formal Dress Shirts Blue Small	ST173-BL-S	B074SZJYJJ	Unshipped	6										Baton Rouge	LA	70808	US		false		
S01-1401422-2710623	B071JY11V7	2018-08-14T13:22:55+00:00	2018-08-19T23:59:02+00:00	Shipped	Amazon	Non-Amazon			Standard	MiCotton Men's Casual Cotton Military Cargo Shorts Army Camo Muti-Pockects Work Shorts Army Green 30	ST155-AG-30	B071JY11V7	Unshipped	3										Baton Rouge	LA	70808	US		false		
S01-6890395-4079448	B074P3WK1B	2018-08-14T13:20:10+00:00	2018-08-16T06:45:09+00:00	Shipped	Amazon	Non-Amazon			Standard	MOCOTONO Men's Long Sleeve Cotton Plaid Button Down Casual Shirts Black Small	ST005-BK-S	B074P3WK1B	Unshipped	8										Baton Rouge	LA	70808	US		false		
