"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B076ZXSQD8","B015QZRRWW","Summer Mae Damen Badekleid Geblümt  Spa Badeanzug Strandkleid Baden Swimwear ,Marineblau (Einteiler),EU 42 = Etikett Größe  5XL","16","0.13%","22","0.14%","100%","8","0","50.00%","0.00%","€183.92","€0.00","8","0"
"B076ZXSQD8","B015QZRSF8","Summer Mae Damen Badekleid Geblümt  Spa Badeanzug Strandkleid Baden Swimwear ,Saphirblau (Zweiteiler),EU 34 = Etikett Größe  XL","10","0.08%","11","0.07%","82%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B076ZXSQD8","B015QZRSWG","Summer Mae Damen Badekleid Geblümt  Spa Badeanzug Strandkleid Baden Swimwear ,Saphirblau (Zweiteiler),EU 36 = Etikett Größe  2XL","12","0.10%","13","0.08%","92%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B076ZXSQD8","B015QZRTB6","Summer Mae Damen Badekleid Geblümt  Spa Badeanzug Strandkleid Baden Swimwear ,Saphirblau (Zweiteiler),EU 38 = Etikett Größe  3XL","11","0.09%","13","0.08%","100%","1","0","9.09%","0.00%","€22.99","€0.00","1","0"
"B076ZXSQD8","B015QZRUJM","Summer Mae Damen Badekleid Geblümt  Spa Badeanzug Strandkleid Baden Swimwear ,Saphirblau (Zweiteiler),EU 42 = Etikett Größe  5XL","9","0.07%","9","0.06%","100%","1","0","11.11%","0.00%","€22.99","€0.00","1","0"
"B076ZXSQD8","B015QZRV0U","Summer Mae Damen Badekleid Geblümt  Spa Badeanzug Strandkleid Baden Swimwear ,Marineblau (Zweiteiler),EU 34 = Etikett Größe  XL","4","0.03%","4","0.03%","75%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B076ZXSQD8","B015QZRVFK","Summer Mae Damen Badekleid Geblümt  Spa Badeanzug Strandkleid Baden Swimwear ,Marineblau (Zweiteiler),EU 36 = Etikett Größe  2XL","14","0.11%","16","0.10%","100%","1","0","7.14%","0.00%","€22.99","€0.00","1","0"
"B076ZXSQD8","B015QZRW4A","Summer Mae Damen Badekleid Geblümt  Spa Badeanzug Strandkleid Baden Swimwear ,Marineblau (Zweiteiler),EU 38 = Etikett Größe  3XL","9","0.07%","11","0.07%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B076ZXSQD8","B015QZRWKO","Summer Mae Damen Badekleid Geblümt  Spa Badeanzug Strandkleid Baden Swimwear ,Marineblau (Zweiteiler),EU 40 = Etikett Größe  4XL","8","0.07%","10","0.06%","100%","1","0","12.50%","0.00%","€22.99","€0.00","1","0"
"B076ZXSQD8","B015QZRXB2","Summer Mae Damen Badekleid Geblümt  Spa Badeanzug Strandkleid Baden Swimwear ,Marineblau (Zweiteiler),EU 42 = Etikett Größe  5XL","18","0.15%","24","0.15%","38%","1","0","5.56%","0.00%","€22.99","€0.00","1","0"
"B07CKKFBBM","B017JO0OBE","Summer Mae Damen Tankini Retro Streifen Badekleider Marineblau XXL","119","0.97%","145","0.91%","100%","28","0","23.53%","0.00%","€695.80","€0.00","28","0"
"B076FWKV7V","B017X47TA4","Summer Mae Damen A-line Lace Quaste Beiläufigkeit Herbst Kleid Retro-Look, XS (EU 32-34),Dunkellila","2","0.02%","2","0.01%","50%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B076FWKV7V","B017X47UK8","Summer Mae Damen A-line Lace Quaste Beiläufigkeit Herbst Kleid Retro-Look Dress,S (EU 34-36),Dunkellila","1","0.01%","2","0.01%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
