Merchant SKU	Fulfillment Network SKU	ASIN	Title	Reserved Quantity	Reserved - Customer Order	Reserved - FC Transfer	Reserved - FC Processing
YY5100B0XL	X00160X5YH	B01AXMQ3YQ	LINENLUX Kids Raincoat Jacket Waterproof Rainwear with Backpack Cover	2	1	0	1
YY-IULCY-XW100-DOG	X001UVRGJH	B07G9T8HS2	LINENLUX Waterproof Rain Poncho Jacket Coat Adults Hooded Two Zippers(Dog)	5	2	0	3
YY1100W0L	X001D9N2H1	B01AXMOYLU	LINENLUX Waterproof Rain Poncho Hooded for Adults with Zipper Outdoor (Pink)	32	4	23	5
ZAKKA0631R030*65CM	X0017K7C1X	B01H1X9QAI	LINENLUX Over the Door Organizer Wall Closet Hanging Storage Bag Multilayer Linen Fabric Pouch Debris (Red,11.8x25.1In)	55	1	50	4
YY-IULCY-XZM150-PK	X001TCRWG9	B07DVBDXSH	LINENLUX Waterproof Rain Poncho Jacket Coat for Adults Hooded with Zipper(Pink Floral)	104	1	100	3
YY-IULCY-XZM100-BKNWT	X001TBM46N	B07DV9BMHF	LINENLUX Waterproof Rain Poncho Jacket Coat Hooded Colorblock(Black and Creamy-White)	1	0	0	1
YY1100PR	X001JLFE1Z	B07148FBL8	LINENLUX Rain Poncho Jacket Coat Hooded for Adults with Pockets (Green)	2	2	0	0
ZAKKA0589B035*50CM	X001FG45HX	B01H1X9LZS	Over the Door Organizer Wall Closet Hanging Storage Bag Multilayer Linen Fabric Pouch Debris (Blue,9.8x12.5In)	16	1	14	1
YY-IULUY-KS374-DB-XL	X001RZ1IMH	B07CYNMJL8	LINENLUX Waterproof Hooded Rain Poncho Jacket Coat for Kids with Pockets Blue X-Large	1	1	0	0
ZAKKA0631B030*65CM	X0017K4BPN	B01H1X9QL2	LINENLUX Over the Door Organizer Wall Closet Hanging Storage Bag Multilayer Linen Fabric Pouch Debris (Blue,11.8x25.1In)	42	2	32	8
ZCGTZ-IUCY001-AE	X001SNKO4V	B07DFFK33K	LINENLUX Adjustable Tarp Poles Set of 2 for Tents,Camping,Shelters,Hiking,Awnings(Aluminum pole)	6	1	0	5
ZB-IULCY-YMQY100-CF140*180	X001TRSUWJ	B07F6Y2H7G	LINENLUX Linen Cotton Rectangular Tablecloths with Tassel for Home Decoration(Coffee,55.12 X70.87 inch)	1	0	0	1
ZXXBHO-M	X001LSH9Z5	B074W525HZ	LINENLUX Waterproof Rain Coat Slicker for Kids, Girls, Boys, Poncho Jacket Gear	2	1	1	0
ZB-IULCY-YMQY100-GR140*140	X001TRKVRL	B07F71KQX8	LINENLUX Linen Cotton Rectangular Tablecloths with Tassel for Home Decoration(Gray,55.12 X55.12 inch)	3	0	3	0
ZPSD-LAHM-800-BK-S	X001TG55H3	B07DWQTW7P	LINENLUX Weight Bags Leg Weights for Pop Up Canopy (16.54x17.32 Inch,4 Pcs-Pack)	1	1	0	0
ZB-IULCY-YMQY100-CF100*140	X001TRKVRB	B07F71JBF4	LINENLUX Linen Cotton Rectangular Tablecloths with Tassel for Home Decoration(Coffee,39.37 X 55.12 inch)	2	0	2	0
ZB-IULCY-YMQY100-GR100*140	X001TRKVXZ	B07F7G63C5	LINENLUX Linen Cotton Rectangular Tablecloths with Tassel for Home Decoration(Gray,39.37 X 55.12 inch)	11	1	9	1
