"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B01H14OWBA","B01HTJ90K0","Summer Mae Women's Classic Striped Two Piece Swimwear Plus Size Tankini Top & Bottom XL","5","0.10%","6","0.10%","67%","1","20.00%","US$17.99","1"
"B01GJPAXLU","B01I2I95SO","Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit XL","17","0.34%","21","0.35%","100%","1","5.88%","US$19.99","1"
"B01ID5DU64","B01ID5DVN6","Summer Mae Women's Plus Size Swim Dress Printed-Hem Ruffled Swimwear","8","0.16%","8","0.13%","88%","1","12.50%","US$20.99","1"
"B078WRS76W","B01LXHBWVD","Womens Knitted Long Sweater Dress Tunic Beige S","3","0.06%","4","0.07%","100%","1","33.33%","US$16.99","1"
"B06VVT45TS","B01MYM265E","Summer Mae Women's Black Mesh One Piece Vintage Swimsuit Halter Swimwear","10","0.20%","16","0.27%","100%","1","10.00%","US$21.99","1"
"B077G58GFN","B06X6LTGGL","Summer Mae Women One Piece Vintage Floral Printed Pin Up Backless Triangle Monokini Swimsuits","4","0.08%","5","0.08%","40%","1","25.00%","US$15.86","1"
"B077RWG5LY","B06XRW7ZB3","Women One Piece Swimsuit Deep V-Neck Pattern Swimwear Cross-Back High Cut Monokini Bathing Suits Pink 3XL","26","0.53%","34","0.57%","100%","1","3.85%","US$18.99","1"
"B073XHY2TN","B06ZYW3BC1","Summer Mae Women's Black/White Mesh Swimwear Two Piece Halter Tankini Top & Bottom","18","0.36%","19","0.32%","74%","1","5.56%","US$19.99","1"
"B072JT82B4","B071FZWXQ8","Summer Mae Women Plus Size Ethnic Printed Splicing Casual Pocket Dress","8","0.16%","8","0.13%","75%","1","12.50%","US$15.99","1"
"B072JT82B4","B071FZWYWN","WOMEN'S BOUTIQUE Summer Mae Women Plus Size Ethnic Printed Splicing Casual Pocket Dress","4","0.08%","8","0.13%","100%","1","25.00%","US$14.99","1"
"B072JT82B4","B071JLRTDQ","Summer Mae Women Plus Size Ethnic Printed Splicing Casual Pocket Dress","23","0.47%","23","0.39%","91%","1","4.35%","US$15.99","1"
"B077G1736K","B071VD3X3X","Summer Mae Women's Sexy Bandage Bikini Set Push-up Padded 2 Piece Swimsuit Swimwear","5","0.10%","6","0.10%","83%","1","20.00%","US$16.99","1"
"B078PJN3DS","B07286PW93","Summer Mae Women's Plus Size V-Neck Gradient Lace Beach Dress","5","0.10%","8","0.13%","50%","1","20.00%","US$18.99","1"
"B078PJN3DS","B072BRN4WX","Summer Mae Women's Plus Size V-Neck Gradient Lace Beach Dress","8","0.16%","10","0.17%","100%","1","12.50%","US$19.99","1"
"B072JT82B4","B072MF2GWB","Summer Mae Women Plus Size Ethnic Printed Splicing Casual Pocket Dress","1","0.02%","1","0.02%","100%","1","100.00%","US$16.99","1"
"B073XHY2TN","B073XH5765","Summer Mae Women's Yellow/Orange Lace Mesh Swimwear Two Piece Halter Tankini Top & Bottom","11","0.22%","14","0.23%","93%","1","9.09%","US$19.99","1"
"B073XHY2TN","B073XHDS44","Summer Mae Women's Yellow/Orange Lace Mesh Swimwear Two Piece Halter Tankini Top & Bottom","5","0.10%","6","0.10%","50%","1","20.00%","US$19.99","1"
"B073XHY2TN","B073XJ1L2G","Summer Mae Women's Yellow/Orange Lace Mesh Swimwear Two Piece Halter Tankini Top & Bottom","4","0.08%","6","0.10%","100%","1","25.00%","US$19.99","1"
"B0742BM7BK","B0742CHPKN","Summer Mae Women's Summer Styling Sleeveless Floral Print Lace High Neck Midi Sun Dress","5","0.10%","5","0.08%","40%","1","20.00%","US$17.99","1"
"B0758DGB3V","B0758CM83M","Summer Mae Women's V Neck Bohemian Tie Vintage Printed Ethnic Style Beach Dress M","5","0.10%","5","0.08%","80%","1","20.00%","US$29.99","1"
"B078WRS76W","B075DSPS1B","Womens Knitted Long Sweater Dress Tunic Black S","30","0.61%","33","0.55%","94%","1","3.33%","US$16.99","1"
"B078WRS76W","B075F1G31B","Womens Knitted Long Sweater Dress Tunic Navy L","7","0.14%","10","0.17%","70%","1","14.29%","US$18.99","1"
"B075QG74LG","B075QF627M","Summer Mae Women's Heart Pattern Patchwork Knitted Sweater Round Neck Loose Pullover","5","0.10%","5","0.08%","0%","1","20.00%","US$17.99","1"
"B075QG74LG","B075QFJ2MX","OUTDOOR WEAR Summer Mae Women's Heart Pattern Patchwork Knitted Sweater Round Neck Loose Pullover","2","0.04%","3","0.05%","100%","1","50.00%","US$17.99","1"
"B075QG74LG","B075QG43N6","OUTDOOR WEAR Summer Mae Women's Heart Pattern Patchwork Knitted Sweater Round Neck Loose Pullover","2","0.04%","2","0.03%","100%","1","50.00%","US$17.99","1"
"B078WRS76W","B075SFXNMF","Womens Knitted Long Sweater Dress Tunic Navy XXL","3","0.06%","4","0.07%","100%","1","33.33%","US$18.99","1"
