"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B0784T23ZQ","B0784T23ZQ","Realistic Sleeping Reborn Baby Doll Boy Silicone Light Blue Outfit with Hippo Pattern 22 Inches","19","0.91%","24","0.85%","100%","0","0.00%","£0.00","0"
"B0788N9R3H","B0788N9R3H","Yesteria Reborn Baby Doll Girl Look Real Rose Red Tutu Skirt 22 Inches","6","0.29%","8","0.28%","100%","0","0.00%","£0.00","0"
"B079HPX7HW","B0788NF4TB","Yesteria African American Reborn Baby Doll Boy Look Real Full Silicone Body Bohemia Style Orange Outfit 10 Inches","18","0.86%","20","0.71%","100%","0","0.00%","£0.00","0"
"B079HPX7HW","B0788P8DCG","Yesteria African American Reborn Baby Doll Girl Look Real Full Silicone Body Bohemia Style Outfit 10 Inches","13","0.62%","19","0.67%","100%","0","0.00%","£0.00","0"
"B0792VG6VZ","B0792VG6VZ","Yesteria Real Looking Reborn Baby Dolls Boy Silicone Vinyl Blue Baby Jumpsuit 18 Inch","58","2.77%","72","2.55%","100%","0","0.00%","£0.00","0"
"B0792VRZ89","B0792VRZ89","Yesteria Life Like Reborn Baby Dolls Boy Realistic Toddler Silicone Vinyl Grey Outfit 22 Inch","16","0.76%","21","0.74%","100%","0","0.00%","£0.00","0"
"B0793RG3PM","B0793RG3PM","Yesteria Real Life Silicone Reborn Baby Dolls Boy Look Real Striped Jumpsuit 22 Inches","4","0.19%","4","0.14%","100%","0","0.00%","£0.00","0"
"B079JQCWQ6","B079JQCWQ6","Yesteria Real Looking Reborn Baby Dolls Girl Silicone Pink Outfit 22 Inches","81","3.87%","104","3.69%","100%","0","0.00%","£0.00","0"
"B079JRPXZ8","B079JRPXZ8","Yesteria Real Life Silicone Reborn Baby Dolls Boy Look Real White Outfit 22 Inches","178","8.51%","246","8.73%","100%","0","0.00%","£0.00","0"
"B079NYR8GC","B079NYR8GC","Silicone Reborn Baby Dolls Girl Look Real White Outfit with Lovely Patterns 16 inches","16","0.76%","16","0.57%","100%","0","0.00%","£0.00","0"
"B079HS82MW","B079P28VV3","Reborn Baby Doll Outfits Boy Accessories for 20""- 22"" Light Blue Outfit","1","0.05%","1","0.04%","100%","0","0.00%","£0.00","0"
"B079HS82MW","B079P55XYW","Reborn Baby Doll Outfits Boy Accessories for 20""- 22"" Pink Outfit","1","0.05%","1","0.04%","100%","0","0.00%","£0.00","0"
"B07BHMXQ7H","B07BHMXQ7H","Yesteria Reborn Baby Dolls Girl Look Real Silicone Light Purple Outfit 16 Inches","3","0.14%","3","0.11%","100%","0","0.00%","£0.00","0"
"B07BHNQ7QC","B07BHNQ7QC","Yesteria Realistic Real Life Reborn Baby Doll Girl Silicone Vinyl Tutu Dress Rose Red 22 Inches","13","0.62%","15","0.53%","100%","0","0.00%","£0.00","0"
"B07BM7G52Z","B07BM7G52Z","Yesteria Real Looking Reborn Baby Dolls Girl Silicone Rose Red Outfit 22 Inches","59","2.82%","75","2.66%","100%","0","0.00%","£0.00","0"
"B07BRK2R83","B07BRK2R83","Yesteria Real Life Reborn Baby Dolls Girl Look Real Silicone Vinyl Pink Outfit 15 Inches","3","0.14%","3","0.11%","67%","0","0.00%","£0.00","0"
"B07CM52CNC","B07CM52CNC","Yesteria 22 Inch Real Looking Reborn Baby Dolls Girl Silicone Vinyl White European Retro Nightdress","26","1.24%","31","1.10%","100%","0","0.00%","£0.00","0"
"B07CM67KDW","B07CM67KDW","Yesteria 20 Inch Full Silicone Vinyl Body Reborn Baby Dolls Boy Real Looking Naked Toddler with Blue Blanket","54","2.58%","69","2.45%","99%","0","0.00%","£0.00","0"
"B07CM9N213","B07CM9N213","Yesteria 22 Inches Silicone Reborn Baby Dolls Girl Look Real Rose Red Tutu Skirt with Striped Pants","20","0.96%","22","0.78%","100%","0","0.00%","£0.00","0"
"B07DDB7VBP","B07DDB7VBP","Reborn Baby Dolls Girl Look Real Lifelike Toddler Silicone Vinyl Light Pink Dress 16 inches","15","0.72%","17","0.60%","100%","0","0.00%","£0.00","0"
"B07F71667Y","B07F71667Y","Yesteria Realistic Reborn Baby Doll Girl Toddler Pink Princess Dress 24 Inches","37","1.77%","57","2.02%","100%","0","0.00%","£0.00","0"
"B07G1WRYLK","B07G1WRYLK","Yesteria Real Like Reborn Baby Doll Girl Realistic Soft body Lovely Gift 16 Inches","5","0.24%","6","0.21%","100%","0","0.00%","£0.00","0"
