Merchant SKU	Fulfillment Network SKU	ASIN	Title	Reserved Quantity	Reserved - Customer Order	Reserved - FC Transfer	Reserved - FC Processing
CS-LY171-G912-XL	B073PQ12R6	B073PQ12R6	Men's Oxford Long Sleeve Button Down Dress Shirt With Pocket,Green,X-Large	1	0	0	1
CS-LY171-G912-S	B073PP2Q5W	B073PP2Q5W	Men's Oxford Long Sleeve Button Down Dress Shirt With Pocket,Green,Small	1	1	0	0
CS-LY181-W902-L	B073PQF1C1	B073PQF1C1	Men's Oxford Long Sleeve Button Down Casual Dress Shirt White Large	2	1	1	0
CS-NEW171-ZL918-XL	X001UDX7F7	B07FT6D1RC	Men's Oxford Long Sleeve Button Down Dress Shirt with Pocket,Navy Blue,X-Large	5	0	5	0
CS-LY181-Sa911-S	B073PQW6NB	B073PQW6NB	Men's Oxford Long Sleeve Button Down Casual Dress Shirt,Sapphire,Small	1	0	0	1
CS-LY181-W902-S	B073PQMVC9	B073PQMVC9	Men's Oxford Long Sleeve Button Down Casual Dress Shirt White Small	2	1	1	0
CS-LY181-ZL918-S	B073PQRF5N	B073PQRF5N	Men's Oxford Long Sleeve Button Down Casual Dress Shirt Navy Blue Small	1	0	0	1
CS-NEW171-Sa911-S	X001UE3YD1	B073PQXDQX	Men's Oxford Long Sleeve Button Down Dress Shirt with Pocket,Sapphire,Small	4	0	4	0
CS-LY171-ZL918-S	B073PP7W37	B073PP7W37	Men's Oxford Long Sleeve Button Down Dress Shirt With Pocket,Navy Blue,Small	1	1	0	0
CS-LY181-Sa911-M	B073PPQQSP	B073PPQQSP	Men's Oxford Long Sleeve Button Down Casual Dress Shirt,Sapphire,Medium	1	1	0	0
CS-LY181-LG907-M	B073PQ5WVC	B073PQ5WVC	Men's Oxford Long Sleeve Button Down Casual Dress Shirt,Light Gray,Medium	4	1	3	0
CS-NEW181-W902-XXL	X001UDIPKT	B078B69KQF	Men's Oxford Long Sleeve Button Down Casual Dress Shirt White XX-Large	5	0	5	0
CS-SB002-RNBL-2XL	B074DV3V6N	B074DV3V6N	MOCOTONO Men's Long Sleeve Regular Fit Plaid Button Down Casual Shirts Red & Navy XX-Large	3	1	2	0
